Eureka, California, Precipitation
Units: Inches
Base Period: 1991-2020
Missing: -99
Date,Value,Anomaly
194112,12.88,4.81
194201,4.07,-2.60
194202,6.22,0.58
194203,1.77,-3.98
194204,4.05,0.41
194205,5.43,3.77
194206,0.57,-0.13
194207,0.07,-0.11
194208,0.07,-0.11
194209,0.06,-0.62
194210,1.22,-1.09
194211,8.60,3.71
194212,8.52,0.45
194301,5.23,-1.44
194302,3.51,-2.13
194303,5.83,0.08
194304,3.23,-0.41
194305,4.26,2.60
194306,0.48,-0.22
194307,0.05,-0.13
194308,0.21,0.03
194309,0.01,-0.67
194310,4.61,2.30
194311,3.59,-1.30
194312,1.67,-6.40
194401,2.92,-3.75
194402,3.62,-2.02
194403,2.26,-3.49
194404,4.25,0.61
194405,3.49,1.83
194406,1.20,0.50
194407,0.11,-0.07
194408,0.19,0.01
194409,0.20,-0.48
194410,2.79,0.48
194411,9.11,4.22
194412,5.93,-2.14
194501,3.65,-3.02
194502,9.56,3.92
194503,6.02,0.27
194504,2.28,-1.36
194505,3.44,1.78
194506,0.00,-0.70
194507,0.00,-0.18
194508,0.10,-0.08
194509,1.09,0.41
194510,3.38,1.07
194511,9.48,4.59
194512,9.93,1.86
194601,4.32,-2.35
194602,5.09,-0.55
194603,4.68,-1.07
194604,0.43,-3.21
194605,1.26,-0.40
194606,0.30,-0.40
194607,0.13,-0.05
194608,0.01,-0.17
194609,0.32,-0.36
194610,2.26,-0.05
194611,4.36,-0.53
194612,1.56,-6.51
194701,3.94,-2.73
194702,1.33,-4.31
194703,3.91,-1.84
194704,1.85,-1.79
194705,0.17,-1.49
194706,1.58,0.88
194707,1.20,1.02
194708,0.10,-0.08
194709,0.59,-0.09
194710,6.50,4.19
194711,1.72,-3.17
194712,3.10,-4.97
194801,8.24,1.57
194802,5.20,-0.44
194803,6.16,0.41
194804,6.54,2.90
194805,2.17,0.51
194806,0.77,0.07
194807,0.25,0.07
194808,0.13,-0.05
194809,1.71,1.03
194810,3.33,1.02
194811,3.19,-1.70
194812,7.36,-0.71
194901,1.63,-5.04
194902,6.09,0.45
194903,6.94,1.19
194904,0.41,-3.23
194905,2.56,0.90
194906,0.06,-0.64
194907,0.16,-0.02
194908,0.02,-0.16
194909,0.50,-0.18
194910,2.03,-0.28
194911,3.23,-1.66
194912,4.48,-3.59
195001,13.80,7.13
195002,4.61,-1.03
195003,7.71,1.96
195004,1.94,-1.70
195005,1.30,-0.36
195006,1.04,0.34
195007,0.06,-0.12
195008,0.07,-0.11
195009,0.35,-0.33
195010,13.04,10.73
195011,3.43,-1.46
195012,5.99,-2.08
195101,8.46,1.79
195102,7.56,1.92
195103,3.94,-1.81
195104,2.06,-1.58
195105,1.39,-0.27
195106,0.00,-0.70
195107,0.06,-0.12
195108,0.02,-0.16
195109,0.79,0.11
195110,3.87,1.56
195111,7.80,2.91
195112,9.10,1.03
195201,10.67,4.00
195202,6.22,0.58
195203,3.78,-1.97
195204,1.34,-2.30
195205,1.77,0.11
195206,1.98,1.28
195207,0.00,-0.18
195208,0.01,-0.17
195209,0.74,0.06
195210,0.62,-1.69
195211,2.13,-2.76
195212,11.87,3.80
195301,12.63,5.96
195302,3.44,-2.20
195303,5.95,0.20
195304,3.18,-0.46
195305,5.83,4.17
195306,1.24,0.54
195307,0.00,-0.18
195308,0.42,0.24
195309,0.61,-0.07
195310,3.84,1.53
195311,9.57,4.68
195312,3.63,-4.44
195401,11.78,5.11
195402,3.29,-2.35
195403,3.76,-1.99
195404,2.78,-0.86
195405,0.16,-1.50
195406,2.57,1.87
195407,0.04,-0.14
195408,1.25,1.07
195409,0.87,0.19
195410,1.47,-0.84
195411,5.09,0.20
195412,9.65,1.58
195501,5.74,-0.93
195502,1.83,-3.81
195503,1.82,-3.93
195504,5.56,1.92
195505,0.04,-1.62
195506,0.12,-0.58
195507,0.21,0.03
195508,0.00,-0.18
195509,1.18,0.50
195510,2.64,0.33
195511,5.78,0.89
195512,11.63,3.56
195601,11.52,4.85
195602,7.47,1.83
195603,2.36,-3.39
195604,0.31,-3.33
195605,1.58,-0.08
195606,1.71,1.01
195607,0.06,-0.12
195608,0.00,-0.18
195609,0.33,-0.35
195610,5.47,3.16
195611,0.50,-4.39
195612,7.18,-0.89
195701,4.23,-2.44
195702,4.36,-1.28
195703,8.78,3.03
195704,1.96,-1.68
195705,3.43,1.77
195706,0.30,-0.40
195707,0.34,0.16
195708,0.02,-0.16
195709,1.37,0.69
195710,6.01,3.70
195711,4.44,-0.45
195712,5.69,-2.38
195801,8.59,1.92
195802,10.81,5.17
195803,6.09,0.34
195804,3.67,0.03
195805,1.26,-0.40
195806,0.71,0.01
195807,0.05,-0.13
195808,0.00,-0.18
195809,0.78,0.10
195810,1.17,-1.14
195811,3.71,-1.18
195812,4.06,-4.01
195901,7.24,0.57
195902,10.65,5.01
195903,3.37,-2.38
195904,0.52,-3.12
195905,0.91,-0.75
195906,0.25,-0.45
195907,0.00,-0.18
195908,0.01,-0.17
195909,1.54,0.86
195910,0.74,-1.57
195911,0.28,-4.61
195912,3.64,-4.43
196001,3.88,-2.79
196002,7.48,1.84
196003,8.14,2.39
196004,2.91,-0.73
196005,6.05,4.39
196006,0.00,-0.70
196007,0.02,-0.16
196008,0.04,-0.14
196009,0.01,-0.67
196010,1.31,-1.00
196011,9.88,4.99
196012,5.08,-2.99
196101,4.54,-2.13
196102,7.54,1.90
196103,7.89,2.14
196104,3.49,-0.15
196105,3.98,2.32
196106,0.50,-0.20
196107,0.03,-0.15
196108,0.30,0.12
196109,0.53,-0.15
196110,2.29,-0.02
196111,5.65,0.76
196112,3.44,-4.63
196201,3.26,-3.41
196202,6.08,0.44
196203,4.04,-1.71
196204,2.62,-1.02
196205,0.60,-1.06
196206,0.11,-0.59
196207,0.00,-0.18
196208,1.92,1.74
196209,0.71,0.03
196210,6.49,4.18
196211,6.78,1.89
196212,2.58,-5.49
196301,1.70,-4.97
196302,4.75,-0.89
196303,6.28,0.53
196304,10.68,7.04
196305,1.74,0.08
196306,0.33,-0.37
196307,0.11,-0.07
196308,0.07,-0.11
196309,0.69,0.01
196310,5.42,3.11
196311,6.92,2.03
196312,3.20,-4.87
196401,11.13,4.46
196402,1.20,-4.44
196403,5.90,0.15
196404,0.67,-2.97
196405,1.59,-0.07
196406,0.72,0.02
196407,0.83,0.65
196408,0.04,-0.14
196409,0.07,-0.61
196410,1.82,-0.49
196411,12.11,7.22
196412,10.97,2.90
196501,5.82,-0.85
196502,1.36,-4.28
196503,1.23,-4.52
196504,5.60,1.96
196505,0.44,-1.22
196506,0.35,-0.35
196507,0.00,-0.18
196508,0.36,0.18
196509,0.00,-0.68
196510,0.71,-1.60
196511,5.21,0.32
196512,5.22,-2.85
196601,9.44,2.77
196602,3.12,-2.52
196603,6.57,0.82
196604,1.34,-2.30
196605,0.06,-1.60
196606,0.30,-0.40
196607,0.25,0.07
196608,0.50,0.32
196609,1.33,0.65
196610,1.02,-1.29
196611,9.86,4.97
196612,6.52,-1.55
196701,8.87,2.20
196702,1.47,-4.17
196703,7.44,1.69
196704,5.30,1.66
196705,1.52,-0.14
196706,0.32,-0.38
196707,0.00,-0.18
196708,0.00,-0.18
196709,1.32,0.64
196710,2.15,-0.16
196711,4.40,-0.49
196712,4.34,-3.73
196801,7.59,0.92
196802,2.93,-2.71
196803,3.85,-1.90
196804,0.40,-3.24
196805,1.05,-0.61
196806,0.20,-0.50
196807,0.04,-0.14
196808,1.98,1.80
196809,0.60,-0.08
196810,2.81,0.50
196811,5.89,1.00
196812,8.32,0.25
196901,13.91,7.24
196902,7.81,2.17
196903,1.56,-4.19
196904,3.22,-0.42
196905,1.01,-0.65
196906,0.34,-0.36
196907,0.06,-0.12
196908,0.00,-0.18
196909,0.36,-0.32
196910,3.20,0.89
196911,3.49,-1.40
196912,9.61,1.54
197001,12.46,5.79
197002,3.15,-2.49
197003,2.70,-3.05
197004,1.54,-2.10
197005,1.38,-0.28
197006,0.29,-0.41
197007,0.00,-0.18
197008,0.00,-0.18
197009,0.32,-0.36
197010,2.11,-0.20
197011,13.20,8.31
197012,10.25,2.18
197101,5.41,-1.26
197102,3.28,-2.36
197103,7.91,2.16
197104,2.93,-0.71
197105,1.28,-0.38
197106,1.52,0.82
197107,0.16,-0.02
197108,0.55,0.37
197109,2.08,1.40
197110,0.93,-1.38
197111,6.37,1.48
197112,6.39,-1.68
197201,7.96,1.29
197202,5.94,0.30
197203,5.08,-0.67
197204,2.28,-1.36
197205,1.11,-0.55
197206,0.88,0.18
197207,0.01,-0.17
197208,0.07,-0.11
197209,1.06,0.38
197210,1.97,-0.34
197211,5.41,0.52
197212,7.43,-0.64
197301,6.47,-0.20
197302,3.85,-1.79
197303,7.10,1.35
197304,0.35,-3.29
197305,0.85,-0.81
197306,0.24,-0.46
197307,0.00,-0.18
197308,0.08,-0.10
197309,2.35,1.67
197310,4.14,1.83
197311,16.57,11.68
197312,7.02,-1.05
197401,6.03,-0.64
197402,5.98,0.34
197403,6.97,1.22
197404,3.15,-0.49
197405,0.43,-1.23
197406,0.33,-0.37
197407,0.11,-0.07
197408,0.32,0.14
197409,0.00,-0.68
197410,1.76,-0.55
197411,2.75,-2.14
197412,6.41,-1.66
197501,5.20,-1.47
197502,7.68,2.04
197503,10.73,4.98
197504,3.29,-0.35
197505,1.06,-0.60
197506,0.58,-0.12
197507,0.10,-0.08
197508,0.58,0.40
197509,0.01,-0.67
197510,6.78,4.47
197511,4.72,-0.17
197512,5.38,-2.69
197601,1.88,-4.79
197602,7.52,1.88
197603,3.12,-2.63
197604,2.80,-0.84
197605,0.54,-1.12
197606,0.15,-0.55
197607,0.20,0.02
197608,1.70,1.52
197609,0.04,-0.64
197610,0.29,-2.02
197611,2.98,-1.91
197612,0.52,-7.55
197701,1.91,-4.76
197702,2.24,-3.40
197703,4.33,-1.42
197704,1.20,-2.44
197705,2.10,0.44
197706,0.07,-0.63
197707,0.00,-0.18
197708,0.20,0.02
197709,3.35,2.67
197710,2.80,0.49
197711,4.51,-0.38
197712,6.60,-1.47
197801,4.52,-2.15
197802,6.06,0.42
197803,2.88,-2.87
197804,4.10,0.46
197805,0.82,-0.84
197806,0.34,-0.36
197807,0.03,-0.15
197808,0.59,0.41
197809,2.72,2.04
197810,0.04,-2.27
197811,2.41,-2.48
197812,1.17,-6.90
197901,3.83,-2.84
197902,6.26,0.62
197903,1.70,-4.05
197904,3.94,0.30
197905,2.25,0.59
197906,0.05,-0.65
197907,0.31,0.13
197908,0.13,-0.05
197909,1.15,0.47
197910,6.14,3.83
197911,6.19,1.30
197912,3.76,-4.31
198001,3.19,-3.48
198002,4.67,-0.97
198003,6.15,0.40
198004,4.18,0.54
198005,1.71,0.05
198006,0.42,-0.28
198007,0.00,-0.18
198008,0.07,-0.11
198009,0.14,-0.54
198010,1.38,-0.93
198011,2.49,-2.40
198012,6.11,-1.96
198101,7.67,1.00
198102,3.72,-1.92
198103,4.64,-1.11
198104,0.71,-2.93
198105,2.02,0.36
198106,0.57,-0.13
198107,0.00,-0.18
198108,0.01,-0.17
198109,0.97,0.29
198110,3.71,1.40
198111,9.39,4.50
198112,9.89,1.82
198201,4.75,-1.92
198202,5.76,0.12
198203,7.06,1.31
198204,5.96,2.32
198205,0.07,-1.59
198206,0.78,0.08
198207,0.08,-0.10
198208,0.03,-0.15
198209,0.63,-0.05
198210,4.89,2.58
198211,7.83,2.94
198212,10.30,2.23
198301,8.48,1.81
198302,9.18,3.54
198303,10.72,4.97
198304,5.48,1.84
198305,1.12,-0.54
198306,0.65,-0.05
198307,0.89,0.71
198308,3.42,3.24
198309,0.87,0.19
198310,1.87,-0.44
198311,10.41,5.52
198312,14.14,6.07
198401,0.76,-5.91
198402,5.17,-0.47
198403,4.70,-1.05
198404,2.76,-0.88
198405,2.52,0.86
198406,1.07,0.37
198407,0.03,-0.15
198408,0.05,-0.13
198409,0.55,-0.13
198410,3.67,1.36
198411,15.15,10.26
198412,4.27,-3.80
198501,0.66,-6.01
198502,3.69,-1.95
198503,4.68,-1.07
198504,0.45,-3.19
198505,1.15,-0.51
198506,0.89,0.19
198507,0.15,-0.03
198508,0.52,0.34
198509,1.07,0.39
198510,4.07,1.76
198511,2.98,-1.91
198512,2.78,-5.29
198601,7.19,0.52
198602,10.09,4.45
198603,6.12,0.37
198604,1.46,-2.18
198605,2.33,0.67
198606,0.21,-0.49
198607,0.02,-0.16
198608,0.00,-0.18
198609,2.70,2.02
198610,1.76,-0.55
198611,1.85,-3.04
198612,3.84,-4.23
198701,6.48,-0.19
198702,3.38,-2.26
198703,6.10,0.35
198704,1.16,-2.48
198705,0.41,-1.25
198706,0.26,-0.44
198707,0.20,0.02
198708,0.06,-0.12
198709,0.02,-0.66
198710,1.05,-1.26
198711,4.23,-0.66
198712,10.92,2.85
198801,7.13,0.46
198802,0.54,-5.10
198803,1.18,-4.57
198804,2.07,-1.57
198805,2.70,1.04
198806,2.22,1.52
198807,0.05,-0.13
198808,0.00,-0.18
198809,0.12,-0.56
198810,0.41,-1.90
198811,8.93,4.04
198812,6.26,-1.81
198901,4.70,-1.97
198902,2.89,-2.75
198903,7.63,1.88
198904,2.02,-1.62
198905,1.67,0.01
198906,0.21,-0.49
198907,0.08,-0.10
198908,0.13,-0.05
198909,0.85,0.17
198910,2.90,0.59
198911,1.60,-3.29
198912,0.80,-7.27
199001,7.20,0.53
199002,4.50,-1.14
199003,3.31,-2.44
199004,1.41,-2.23
199005,3.74,2.08
199006,0.32,-0.38
199007,0.22,0.04
199008,0.71,0.53
199009,0.19,-0.49
199010,1.74,-0.57
199011,3.07,-1.82
199012,2.90,-5.17
199101,1.65,-5.02
199102,2.76,-2.88
199103,6.94,1.19
199104,2.53,-1.11
199105,2.16,0.50
199106,0.26,-0.44
199107,1.13,0.95
199108,0.37,0.19
199109,0.00,-0.68
199110,1.06,-1.25
199111,1.95,-2.94
199112,2.36,-5.71
199201,3.99,-2.68
199202,3.81,-1.83
199203,3.51,-2.24
199204,2.42,-1.22
199205,0.07,-1.59
199206,1.27,0.57
199207,0.25,0.07
199208,0.01,-0.17
199209,0.33,-0.35
199210,2.08,-0.23
199211,2.22,-2.67
199212,9.33,1.26
199301,7.15,0.48
199302,5.93,0.29
199303,4.73,-1.02
199304,5.94,2.30
199305,4.45,2.79
199306,1.23,0.53
199307,0.37,0.19
199308,0.54,0.36
199309,0.04,-0.64
199310,0.56,-1.75
199311,1.36,-3.53
199312,7.12,-0.95
199401,5.09,-1.58
199402,7.12,1.48
199403,2.06,-3.69
199404,3.30,-0.34
199405,1.11,-0.55
199406,0.71,0.01
199407,0.08,-0.10
199408,0.00,-0.18
199409,0.06,-0.62
199410,0.54,-1.77
199411,8.22,3.33
199412,7.00,-1.07
199501,12.75,6.08
199502,1.41,-4.23
199503,11.18,5.43
199504,7.47,3.83
199505,1.21,-0.45
199506,1.85,1.15
199507,0.09,-0.09
199508,0.22,0.04
199509,0.70,0.02
199510,0.53,-1.78
199511,2.26,-2.63
199512,11.57,3.50
199601,10.73,4.06
199602,8.11,2.47
199603,3.51,-2.24
199604,4.64,1.00
199605,2.40,0.74
199606,0.05,-0.65
199607,0.04,-0.14
199608,0.00,-0.18
199609,1.21,0.53
199610,3.50,1.19
199611,5.16,0.27
199612,21.27,13.20
199701,8.81,2.14
199702,2.55,-3.09
199703,2.73,-3.02
199704,3.06,-0.58
199705,0.91,-0.75
199706,1.25,0.55
199707,0.00,-0.18
199708,0.84,0.66
199709,2.05,1.37
199710,2.74,0.43
199711,7.38,2.49
199712,4.73,-3.34
199801,13.42,6.75
199802,13.96,8.32
199803,7.83,2.08
199804,2.23,-1.41
199805,3.12,1.46
199806,0.33,-0.37
199807,0.17,-0.01
199808,0.01,-0.17
199809,0.09,-0.59
199810,3.06,0.75
199811,14.09,9.20
199812,5.41,-2.66
199901,4.38,-2.29
199902,10.33,4.69
199903,8.94,3.19
199904,1.79,-1.85
199905,1.62,-0.04
199906,0.15,-0.55
199907,0.04,-0.14
199908,0.31,0.13
199909,0.06,-0.62
199910,1.61,-0.70
199911,7.36,2.47
199912,3.02,-5.05
200001,9.71,3.04
200002,7.00,1.36
200003,2.82,-2.93
200004,2.15,-1.49
200005,1.87,0.21
200006,0.54,-0.16
200007,0.04,-0.14
200008,0.00,-0.18
200009,0.55,-0.13
200010,3.00,0.69
200011,3.52,-1.37
200012,1.97,-6.10
200101,3.80,-2.87
200102,3.61,-2.03
200103,2.46,-3.29
200104,2.54,-1.10
200105,0.72,-0.94
200106,0.69,-0.01
200107,0.20,0.02
200108,0.21,0.03
200109,0.29,-0.39
200110,1.00,-1.31
200111,7.71,2.82
200112,11.57,3.50
200201,6.38,-0.29
200202,5.77,0.13
200203,4.32,-1.43
200204,2.43,-1.21
200205,0.55,-1.11
200206,0.28,-0.42
200207,0.04,-0.14
200208,0.01,-0.17
200209,0.06,-0.62
200210,0.07,-2.24
200211,2.66,-2.23
200212,23.31,15.24
200301,5.51,-1.16
200302,3.84,-1.80
200303,4.91,-0.84
200304,11.24,7.60
200305,1.74,0.08
200306,0.04,-0.66
200307,0.02,-0.16
200308,0.49,0.31
200309,0.36,-0.32
200310,0.56,-1.75
200311,5.78,0.89
200312,11.35,3.28
200401,6.30,-0.37
200402,8.13,2.49
200403,2.39,-3.36
200404,1.68,-1.96
200405,1.38,-0.28
200406,0.06,-0.64
200407,0.06,-0.12
200408,0.43,0.25
200409,0.68,0.00
200410,5.71,3.40
200411,1.87,-3.02
200412,9.44,1.37
200501,5.92,-0.75
200502,2.41,-3.23
200503,6.24,0.49
200504,4.70,1.06
200505,3.90,2.24
200506,3.08,2.38
200507,0.06,-0.12
200508,0.07,-0.11
200509,0.08,-0.60
200510,2.40,0.09
200511,8.52,3.63
200512,12.72,4.65
200601,12.09,5.42
200602,6.34,0.70
200603,11.12,5.37
200604,4.08,0.44
200605,1.04,-0.62
200606,0.35,-0.35
200607,0.04,-0.14
200608,0.00,-0.18
200609,0.09,-0.59
200610,0.58,-1.73
200611,7.42,2.53
200612,7.10,-0.97
200701,1.86,-4.81
200702,11.86,6.22
200703,2.50,-3.25
200704,2.72,-0.92
200705,0.87,-0.79
200706,0.46,-0.24
200707,0.98,0.80
200708,0.08,-0.10
200709,0.60,-0.08
200710,4.93,2.62
200711,2.33,-2.56
200712,7.30,-0.77
200801,9.70,3.03
200802,2.73,-2.91
200803,3.16,-2.59
200804,2.12,-1.52
200805,0.04,-1.62
200806,0.24,-0.46
200807,0.02,-0.16
200808,0.48,0.30
200809,0.05,-0.63
200810,0.93,-1.38
200811,4.06,-0.83
200812,6.67,-1.40
200901,1.58,-5.09
200902,6.20,0.56
200903,5.45,-0.30
200904,1.24,-2.40
200905,2.93,1.27
200906,0.19,-0.51
200907,0.06,-0.12
200908,0.02,-0.16
200909,1.03,0.35
200910,1.95,-0.36
200911,4.15,-0.74
200912,4.17,-3.90
201001,9.29,2.62
201002,4.20,-1.44
201003,6.06,0.31
201004,7.76,4.12
201005,3.51,1.85
201006,2.32,1.62
201007,0.04,-0.14
201008,0.17,-0.01
201009,1.39,0.71
201010,4.27,1.96
201011,4.70,-0.19
201012,10.08,2.01
201101,2.23,-4.44
201102,3.63,-2.01
201103,11.89,6.14
201104,4.08,0.44
201105,1.43,-0.23
201106,1.30,0.60
201107,0.17,-0.01
201108,0.04,-0.14
201109,0.37,-0.31
201110,4.21,1.90
201111,3.86,-1.03
201112,2.22,-5.85
201201,7.76,1.09
201202,2.63,-3.01
201203,12.03,6.28
201204,4.77,1.13
201205,0.77,-0.89
201206,2.00,1.30
201207,0.68,0.50
201208,0.08,-0.10
201209,0.04,-0.64
201210,2.73,0.42
201211,6.37,1.48
201212,10.97,2.90
201301,2.56,-4.11
201302,1.78,-3.86
201303,3.09,-2.66
201304,2.44,-1.20
201305,1.17,-0.49
201306,0.43,-0.27
201307,0.00,-0.18
201308,0.08,-0.10
201309,3.15,2.47
201310,0.06,-2.25
201311,1.29,-3.60
201312,0.56,-7.51
201401,1.35,-5.32
201402,6.09,0.45
201403,6.24,0.49
201404,1.37,-2.27
201405,0.58,-1.08
201406,0.35,-0.35
201407,0.02,-0.16
201408,0.02,-0.16
201409,3.09,2.41
201410,4.74,2.43
201411,3.89,-1.00
201412,9.76,1.69
201501,1.36,-5.31
201502,5.04,-0.60
201503,3.20,-2.55
201504,2.57,-1.07
201505,0.07,-1.59
201506,0.04,-0.66
201507,0.15,-0.03
201508,0.41,0.23
201509,0.27,-0.41
201510,1.18,-1.13
201511,4.89,0.00
201512,14.67,6.60
201601,12.06,5.39
201602,2.98,-2.66
201603,8.11,2.36
201604,2.85,-0.79
201605,0.76,-0.90
201606,0.02,-0.68
201607,0.54,0.36
201608,0.04,-0.14
201609,0.01,-0.67
201610,10.93,8.62
201611,6.98,2.09
201612,7.87,-0.20
201701,10.52,3.85
201702,11.10,5.46
201703,7.98,2.23
201704,5.46,1.82
201705,1.31,-0.35
201706,0.59,-0.11
201707,0.07,-0.11
201708,0.05,-0.13
201709,1.01,0.33
201710,1.64,-0.67
201711,7.41,2.52
201712,1.94,-6.13
201801,7.86,1.19
201802,2.87,-2.77
201803,8.50,2.75
201804,5.02,1.38
201805,0.80,-0.86
201806,0.70,0.00
201807,0.03,-0.15
201808,0.06,-0.12
201809,0.19,-0.49
201810,0.86,-1.45
201811,4.95,0.06
201812,4.96,-3.11
201901,6.67,0.00
201902,14.44,8.80
201903,4.79,-0.96
201904,2.51,-1.13
201905,2.61,0.95
201906,0.00,-0.70
201907,0.00,-0.18
201908,0.18,0.00
201909,1.93,1.25
201910,1.51,-0.80
201911,1.75,-3.14
201912,7.63,-0.44
202001,7.50,0.83
202002,0.60,-5.04
202003,3.69,-2.06
202004,2.05,-1.59
202005,4.73,3.07
202006,0.20,-0.50
202007,0.04,-0.14
202008,0.08,-0.10
202009,0.74,0.06
202010,0.42,-1.89
202011,2.55,-2.34
202012,3.96,-4.11
202101,7.11,0.44
202102,4.32,-1.32
202103,3.93,-1.82
202104,0.71,-2.93
202105,0.26,-1.40
202106,1.06,0.36
202107,0.22,0.04
202108,0.04,-0.14
202109,1.24,0.56
202110,4.03,1.72
202111,2.86,-2.03
202112,7.26,-0.81
202201,1.91,-4.76
202202,0.51,-5.13
202203,1.50,-4.25
202204,4.57,0.93
202205,1.37,-0.29
202206,1.54,0.84
202207,0.76,0.58
202208,0.11,-0.07
202209,0.43,-0.25
202210,0.15,-2.16
202211,5.36,0.47
202212,8.54,0.47
202301,7.89,1.22
