Los Angeles, California, Precipitation
Units: Inches
Base Period: 1991-2020
Missing: -99
Date,Value,Anomaly
194408,0.00,0.00
194409,0.00,-0.11
194410,0.06,-0.43
194411,3.77,2.95
194412,0.54,-1.69
194501,0.15,-2.71
194502,2.74,-0.25
194503,3.21,1.48
194504,0.00,-0.60
194505,0.00,-0.28
194506,0.03,-0.05
194507,0.00,-0.04
194508,0.00,0.00
194509,0.00,-0.11
194510,0.46,-0.03
194511,0.18,-0.64
194512,4.45,2.22
194601,0.25,-2.61
194602,0.53,-2.46
194603,3.29,1.56
194604,0.65,0.05
194605,0.00,-0.28
194606,0.00,-0.08
194607,0.00,-0.04
194608,0.00,0.00
194609,0.01,-0.10
194610,0.80,0.31
194611,7.93,7.11
194612,2.91,0.68
194701,0.09,-2.77
194702,0.44,-2.55
194703,1.02,-0.71
194704,0.23,-0.37
194705,0.04,-0.24
194706,0.00,-0.08
194707,0.00,-0.04
194708,0.01,0.01
194709,0.03,-0.08
194710,0.25,-0.24
194711,0.03,-0.79
194712,0.98,-1.25
194801,0.15,-2.71
194802,1.00,-1.99
194803,2.24,0.51
194804,0.63,0.03
194805,0.00,-0.28
194806,0.04,-0.04
194807,0.00,-0.04
194808,0.00,0.00
194809,0.00,-0.11
194810,0.03,-0.46
194811,0.00,-0.82
194812,2.22,-0.01
194901,2.30,-0.56
194902,1.55,-1.44
194903,1.44,-0.29
194904,0.01,-0.59
194905,0.42,0.14
194906,0.00,-0.08
194907,0.00,-0.04
194908,0.00,0.00
194909,0.01,-0.10
194910,0.00,-0.49
194911,1.46,0.64
194912,2.21,-0.02
195001,2.54,-0.32
195002,2.04,-0.95
195003,0.47,-1.26
195004,0.41,-0.19
195005,0.00,-0.28
195006,0.02,-0.06
195007,0.03,-0.01
195008,0.00,0.00
195009,0.11,0.00
195010,0.12,-0.37
195011,0.95,0.13
195012,0.01,-2.22
195101,2.82,-0.04
195102,0.84,-2.15
195103,0.38,-1.35
195104,1.37,0.77
195105,0.02,-0.26
195106,0.00,-0.08
195107,0.00,-0.04
195108,0.06,0.06
195109,0.00,-0.11
195110,0.23,-0.26
195111,0.71,-0.11
195112,4.63,2.40
195201,7.24,4.38
195202,0.72,-2.27
195203,4.33,2.60
195204,1.21,0.61
195205,0.00,-0.28
195206,0.00,-0.08
195207,0.00,-0.04
195208,0.00,0.00
195209,0.06,-0.05
195210,0.00,-0.49
195211,2.76,1.94
195212,2.28,0.05
195301,1.13,-1.73
195302,0.10,-2.89
195303,0.44,-1.29
195304,1.78,1.18
195305,0.00,-0.28
195306,0.00,-0.08
195307,0.02,-0.02
195308,0.00,0.00
195309,0.00,-0.11
195310,0.00,-0.49
195311,1.23,0.41
195312,0.06,-2.17
195401,4.78,1.92
195402,3.36,0.37
195403,2.60,0.87
195404,0.11,-0.49
195405,0.02,-0.26
195406,0.01,-0.07
195407,0.01,-0.03
195408,0.04,0.04
195409,0.00,-0.11
195410,0.00,-0.49
195411,1.24,0.42
195412,0.74,-1.49
195501,4.13,1.27
195502,0.88,-2.11
195503,0.15,-1.58
195504,2.20,1.60
195505,0.42,0.14
195506,0.07,-0.01
195507,0.01,-0.03
195508,0.00,0.00
195509,0.00,-0.11
195510,0.00,-0.49
195511,1.35,0.53
195512,0.94,-1.29
195601,8.07,5.21
195602,0.51,-2.48
195603,0.00,-1.73
195604,2.07,1.47
195605,0.56,0.28
195606,0.00,-0.08
195607,0.00,-0.04
195608,0.00,0.00
195609,0.00,-0.11
195610,0.01,-0.48
195611,0.00,-0.82
195612,0.49,-1.74
195701,3.88,1.02
195702,1.94,-1.05
195703,0.95,-0.78
195704,1.33,0.73
195705,0.28,0.00
195706,0.06,-0.02
195707,0.03,-0.01
195708,0.00,0.00
195709,0.00,-0.11
195710,1.28,0.79
195711,0.46,-0.36
195712,2.10,-0.13
195801,1.49,-1.37
195802,6.26,3.27
195803,5.25,3.52
195804,2.04,1.44
195805,0.01,-0.27
195806,0.00,-0.08
195807,0.00,-0.04
195808,0.02,0.02
195809,0.03,-0.08
195810,0.32,-0.17
195811,0.00,-0.82
195812,0.01,-2.22
195901,1.11,-1.75
195902,3.72,0.73
195903,0.00,-1.73
195904,0.39,-0.21
195905,0.00,-0.28
195906,0.00,-0.08
195907,0.00,-0.04
195908,0.00,0.00
195909,0.04,-0.07
195910,0.01,-0.48
195911,0.06,-0.76
195912,1.11,-1.12
196001,2.83,-0.03
196002,2.90,-0.09
196003,0.21,-1.52
196004,2.00,1.40
196005,0.00,-0.28
196006,0.00,-0.08
196007,0.00,-0.04
196008,0.00,0.00
196009,0.00,-0.11
196010,0.00,-0.49
196011,2.67,1.85
196012,0.06,-2.17
196101,1.27,-1.59
196102,0.00,-2.99
196103,0.46,-1.27
196104,0.02,-0.58
196105,0.00,-0.28
196106,0.00,-0.08
196107,0.01,-0.03
196108,0.30,0.30
196109,0.04,-0.07
196110,0.00,-0.49
196111,1.89,1.07
196112,1.07,-1.16
196201,2.68,-0.18
196202,11.07,8.08
196203,1.11,-0.62
196204,0.00,-0.60
196205,0.06,-0.22
196206,0.00,-0.08
196207,0.00,-0.04
196208,0.00,0.00
196209,0.00,-0.11
196210,0.07,-0.42
196211,0.02,-0.80
196212,0.01,-2.22
196301,0.62,-2.24
196302,4.48,1.49
196303,2.43,0.70
196304,1.41,0.81
196305,0.02,-0.26
196306,0.24,0.16
196307,0.00,-0.04
196308,0.01,0.01
196309,1.13,1.02
196310,0.42,-0.07
196311,2.76,1.94
196312,0.00,-2.23
196401,1.49,-1.37
196402,0.00,-2.99
196403,1.20,-0.53
196404,0.20,-0.40
196405,0.01,-0.27
196406,0.29,0.21
196407,0.00,-0.04
196408,0.00,0.00
196409,0.00,-0.11
196410,0.30,-0.19
196411,1.07,0.25
196412,1.95,-0.28
196501,0.43,-2.43
196502,0.34,-2.65
196503,1.64,-0.09
196504,4.51,3.91
196505,0.00,-0.28
196506,0.03,-0.05
196507,0.00,-0.04
196508,0.12,0.12
196509,0.11,0.00
196510,0.00,-0.49
196511,6.38,5.56
196512,3.26,1.03
196601,0.84,-2.02
196602,1.40,-1.59
196603,0.49,-1.24
196604,0.01,-0.59
196605,0.02,-0.26
196606,0.00,-0.08
196607,0.01,-0.03
196608,0.00,0.00
196609,0.19,0.08
196610,0.04,-0.45
196611,2.69,1.87
196612,3.67,1.44
196701,2.71,-0.15
196702,0.05,-2.94
196703,1.47,-0.26
196704,2.68,2.08
196705,0.03,-0.25
196706,0.00,-0.08
196707,0.00,-0.04
196708,0.00,0.00
196709,0.44,0.33
196710,0.00,-0.49
196711,7.47,6.65
196712,1.05,-1.18
196801,0.84,-2.02
196802,0.44,-2.55
196803,3.77,2.04
196804,0.49,-0.11
196805,0.00,-0.28
196806,0.00,-0.08
196807,0.04,0.00
196808,0.00,0.00
196809,0.00,-0.11
196810,0.32,-0.17
196811,0.24,-0.58
196812,1.42,-0.81
196901,9.61,6.75
196902,3.76,0.77
196903,0.42,-1.31
196904,0.38,-0.22
196905,0.00,-0.28
196906,0.00,-0.08
196907,0.15,0.11
196908,0.00,0.00
196909,0.01,-0.10
196910,0.00,-0.49
196911,1.37,0.55
196912,0.01,-2.22
197001,1.44,-1.42
197002,1.39,-1.60
197003,1.29,-0.44
197004,0.00,-0.60
197005,0.00,-0.28
197006,0.01,-0.07
197007,0.00,-0.04
197008,0.00,0.00
197009,0.00,-0.11
197010,0.02,-0.47
197011,3.68,2.86
197012,4.12,1.89
197101,0.66,-2.20
197102,0.36,-2.63
197103,0.23,-1.50
197104,0.68,0.08
197105,0.18,-0.10
197106,0.00,-0.08
197107,0.00,-0.04
197108,0.00,0.00
197109,0.00,-0.11
197110,0.28,-0.21
197111,0.22,-0.60
197112,5.70,3.47
197201,0.00,-2.86
197202,0.16,-2.83
197203,0.00,-1.73
197204,0.00,-0.60
197205,0.01,-0.27
197206,0.06,-0.02
197207,0.00,-0.04
197208,0.06,0.06
197209,0.03,-0.08
197210,1.79,1.30
197211,3.13,2.31
197212,1.88,-0.35
197301,3.16,0.30
197302,4.87,1.88
197303,2.43,0.70
197304,0.00,-0.60
197305,0.01,-0.27
197306,0.00,-0.08
197307,0.00,-0.04
197308,0.02,0.02
197309,0.00,-0.11
197310,0.08,-0.41
197311,1.92,1.10
197312,0.46,-1.77
197401,5.68,2.82
197402,0.13,-2.86
197403,2.49,0.76
197404,0.14,-0.46
197405,0.02,-0.26
197406,0.00,-0.08
197407,0.00,-0.04
197408,0.00,0.00
197409,0.00,-0.11
197410,0.54,0.05
197411,0.00,-0.82
197412,3.76,1.53
197501,0.01,-2.85
197502,3.21,0.22
197503,2.99,1.26
197504,0.74,0.14
197505,0.04,-0.24
197506,0.00,-0.08
197507,0.00,-0.04
197508,0.00,0.00
197509,0.00,-0.11
197510,0.24,-0.25
197511,0.00,-0.82
197512,0.10,-2.13
197601,0.00,-2.86
197602,2.15,-0.84
197603,0.83,-0.90
197604,0.78,0.18
197605,0.00,-0.28
197606,0.28,0.20
197607,0.02,-0.02
197608,0.03,0.03
197609,1.85,1.74
197610,1.50,1.01
197611,0.87,0.05
197612,0.95,-1.28
197701,3.21,0.35
197702,0.26,-2.73
197703,1.23,-0.50
197704,0.00,-0.60
197705,2.55,2.27
197706,0.00,-0.08
197707,0.00,-0.04
197708,2.47,2.47
197709,0.00,-0.11
197710,0.00,-0.49
197711,0.04,-0.78
197712,3.92,1.69
197801,7.48,4.62
197802,7.67,4.68
197803,5.75,4.02
197804,1.23,0.63
197805,0.00,-0.28
197806,0.00,-0.08
197807,0.00,-0.04
197808,0.00,0.00
197809,0.39,0.28
197810,0.04,-0.45
197811,1.20,0.38
197812,0.83,-1.40
197901,5.26,2.40
197902,2.53,-0.46
197903,4.74,3.01
197904,0.00,-0.60
197905,0.00,-0.28
197906,0.00,-0.08
197907,0.00,-0.04
197908,0.00,0.00
197909,0.04,-0.07
197910,0.31,-0.18
197911,0.22,-0.60
197912,0.42,-1.81
198001,6.97,4.11
198002,9.13,6.14
198003,3.70,1.97
198004,0.17,-0.43
198005,0.07,-0.21
198006,0.00,-0.08
198007,0.00,-0.04
198008,0.00,0.00
198009,0.00,-0.11
198010,0.00,-0.49
198011,0.00,-0.82
198012,1.57,-0.66
198101,1.51,-1.35
198102,1.58,-1.41
198103,3.24,1.51
198104,0.46,-0.14
198105,0.00,-0.28
198106,0.00,-0.08
198107,0.00,-0.04
198108,0.00,0.00
198109,0.05,-0.06
198110,0.40,-0.09
198111,2.63,1.81
198112,1.52,-0.71
198201,2.78,-0.08
198202,0.66,-2.33
198203,3.41,1.68
198204,1.61,1.01
198205,0.11,-0.17
198206,0.01,-0.07
198207,0.00,-0.04
198208,0.00,0.00
198209,0.78,0.67
198210,0.18,-0.31
198211,3.48,2.66
198212,0.66,-1.57
198301,5.25,2.39
198302,5.64,2.65
198303,6.37,4.64
198304,3.18,2.58
198305,0.04,-0.24
198306,0.03,-0.05
198307,0.00,-0.04
198308,1.25,1.25
198309,1.91,1.80
198310,0.94,0.45
198311,2.74,1.92
198312,2.11,-0.12
198401,0.39,-2.47
198402,0.01,-2.98
198403,0.14,-1.59
198404,1.16,0.56
198405,0.00,-0.28
198406,0.00,-0.08
198407,0.00,-0.04
198408,0.29,0.29
198409,0.09,-0.02
198410,0.28,-0.21
198411,1.24,0.42
198412,4.21,1.98
198501,0.70,-2.16
198502,1.91,-1.08
198503,0.72,-1.01
198504,0.00,-0.60
198505,0.16,-0.12
198506,0.00,-0.08
198507,0.00,-0.04
198508,0.00,0.00
198509,0.28,0.17
198510,0.36,-0.13
198511,4.75,3.93
198512,0.44,-1.79
198601,2.31,-0.55
198602,5.36,2.37
198603,4.89,3.16
198604,0.30,-0.30
198605,0.00,-0.28
198606,0.00,-0.08
198607,0.09,0.05
198608,0.00,0.00
198609,1.44,1.33
198610,0.10,-0.39
198611,1.14,0.32
198612,0.30,-1.93
198701,1.27,-1.59
198702,0.64,-2.35
198703,0.92,-0.81
198704,0.02,-0.58
198705,0.00,-0.28
198706,0.09,0.01
198707,0.08,0.04
198708,0.00,0.00
198709,0.08,-0.03
198710,1.74,1.25
198711,0.60,-0.22
198712,1.80,-0.43
198801,1.61,-1.25
198802,1.79,-1.20
198803,0.08,-1.65
198804,1.14,0.54
198805,0.00,-0.28
198806,0.00,-0.08
198807,0.00,-0.04
198808,0.02,0.02
198809,0.07,-0.04
198810,0.00,-0.49
198811,0.73,-0.09
198812,2.52,0.29
198901,0.59,-2.27
198902,1.72,-1.27
198903,0.86,-0.87
198904,0.00,-0.60
198905,0.04,-0.24
198906,0.00,-0.08
198907,0.00,-0.04
198908,0.00,0.00
198909,0.26,0.15
198910,0.34,-0.15
198911,0.38,-0.44
198912,0.00,-2.23
199001,1.18,-1.68
199002,2.60,-0.39
199003,0.14,-1.59
199004,0.34,-0.26
199005,0.83,0.55
199006,0.00,-0.08
199007,0.00,-0.04
199008,0.02,0.02
199009,0.00,-0.11
199010,0.00,-0.49
199011,0.10,-0.72
199012,0.03,-2.20
199101,1.38,-1.48
199102,2.53,-0.46
199103,3.96,2.23
199104,0.00,-0.60
199105,0.00,-0.28
199106,0.00,-0.08
199107,0.17,0.13
199108,0.00,0.00
199109,0.09,-0.02
199110,0.06,-0.43
199111,0.00,-0.82
199112,2.86,0.63
199201,1.61,-1.25
199202,4.70,1.71
199203,5.07,3.34
199204,0.18,-0.42
199205,0.04,-0.24
199206,0.00,-0.08
199207,0.32,0.28
199208,0.00,0.00
199209,0.00,-0.11
199210,0.50,0.01
199211,0.00,-0.82
199212,4.16,1.93
199301,10.63,7.77
199302,5.48,2.49
199303,1.83,0.10
199304,0.00,-0.60
199305,0.00,-0.28
199306,0.74,0.66
199307,0.00,-0.04
199308,0.00,0.00
199309,0.00,-0.11
199310,0.09,-0.40
199311,0.93,0.11
199312,0.97,-1.26
199401,0.33,-2.53
199402,4.35,1.36
199403,1.01,-0.72
199404,0.44,-0.16
199405,0.08,-0.20
199406,0.00,-0.08
199407,0.00,-0.04
199408,0.00,0.00
199409,0.00,-0.11
199410,0.14,-0.35
199411,0.66,-0.16
199412,1.05,-1.18
199501,12.72,9.86
199502,0.62,-2.37
199503,5.67,3.94
199504,0.74,0.14
199505,0.61,0.33
199506,0.60,0.52
199507,0.06,0.02
199508,0.00,0.00
199509,0.00,-0.11
199510,0.01,-0.48
199511,0.10,-0.72
199512,2.16,-0.07
199601,1.94,-0.92
199602,4.19,1.20
199603,1.36,-0.37
199604,0.42,-0.18
199605,0.05,-0.23
199606,0.00,-0.08
199607,0.00,-0.04
199608,0.00,0.00
199609,0.00,-0.11
199610,1.46,0.97
199611,1.93,1.11
199612,4.74,2.51
199701,5.13,2.27
199702,0.05,-2.94
199703,0.00,-1.73
199704,0.00,-0.60
199705,0.00,-0.28
199706,0.00,-0.08
199707,0.00,-0.04
199708,0.00,0.00
199709,0.27,0.16
199710,0.00,-0.49
199711,2.66,1.84
199712,3.93,1.70
199801,3.71,0.85
199802,13.79,10.80
199803,3.37,1.64
199804,1.00,0.40
199805,2.46,2.18
199806,0.09,0.01
199807,0.00,-0.04
199808,0.00,0.00
199809,0.01,-0.10
199810,0.00,-0.49
199811,1.89,1.07
199812,0.74,-1.49
199901,1.19,-1.67
199902,0.50,-2.49
199903,2.13,0.40
199904,2.23,1.63
199905,0.00,-0.28
199906,0.59,0.51
199907,0.00,-0.04
199908,0.00,0.00
199909,0.00,-0.11
199910,0.00,-0.49
199911,0.28,-0.54
199912,0.00,-2.23
200001,0.85,-2.01
200002,4.71,1.72
200003,2.40,0.67
200004,1.88,1.28
200005,0.00,-0.28
200006,0.00,-0.08
200007,0.00,-0.04
200008,0.03,0.03
200009,0.03,-0.08
200010,1.12,0.63
200011,0.00,-0.82
200012,0.00,-2.23
200101,4.68,1.82
200102,7.30,4.31
200103,1.29,-0.44
200104,1.10,0.50
200105,0.01,-0.27
200106,0.00,-0.08
200107,0.00,-0.04
200108,0.00,0.00
200109,0.00,-0.11
200110,0.04,-0.45
200111,1.34,0.52
200112,1.24,-0.99
200201,0.73,-2.13
200202,0.35,-2.64
200203,0.28,-1.45
200204,0.02,-0.58
200205,0.11,-0.17
200206,0.05,-0.03
200207,0.00,-0.04
200208,0.00,0.00
200209,0.08,-0.03
200210,0.05,-0.44
200211,1.59,0.77
200212,1.77,-0.46
200301,0.00,-2.86
200302,3.78,0.79
200303,1.66,-0.07
200304,0.49,-0.11
200305,0.95,0.67
200306,0.00,-0.08
200307,0.02,-0.02
200308,0.00,0.00
200309,0.00,-0.11
200310,0.71,0.22
200311,0.80,-0.02
200312,1.14,-1.09
200401,0.49,-2.37
200402,4.61,1.62
200403,0.77,-0.96
200404,0.03,-0.57
200405,0.04,-0.24
200406,0.00,-0.08
200407,0.00,-0.04
200408,0.00,0.00
200409,0.00,-0.11
200410,3.78,3.29
200411,0.11,-0.71
200412,6.50,4.27
200501,6.87,4.01
200502,6.95,3.96
200503,1.08,-0.65
200504,0.90,0.30
200505,0.33,0.05
200506,0.00,-0.08
200507,0.00,-0.04
200508,0.00,0.00
200509,0.25,0.14
200510,1.01,0.52
200511,0.47,-0.35
200512,0.95,-1.28
200601,1.42,-1.44
200602,2.03,-0.96
200603,2.52,0.79
200604,1.64,1.04
200605,0.60,0.32
200606,0.01,-0.07
200607,0.10,0.06
200608,0.01,0.01
200609,0.00,-0.11
200610,0.00,-0.49
200611,0.25,-0.57
200612,0.61,-1.62
200701,0.39,-2.47
200702,0.82,-2.17
200703,0.09,-1.64
200704,0.36,-0.24
200705,0.00,-0.28
200706,0.00,-0.08
200707,0.01,-0.03
200708,0.00,0.00
200709,0.49,0.38
200710,0.64,0.15
200711,0.50,-0.32
200712,1.59,-0.64
200801,4.67,1.81
200802,2.17,-0.82
200803,0.03,-1.70
200804,0.03,-0.57
200805,0.11,-0.17
200806,0.00,-0.08
200807,0.00,-0.04
200808,0.00,0.00
200809,0.00,-0.11
200810,0.00,-0.49
200811,1.50,0.68
200812,2.51,0.28
200901,0.51,-2.35
200902,3.41,0.42
200903,0.05,-1.68
200904,0.00,-0.60
200905,0.00,-0.28
200906,0.15,0.07
200907,0.00,-0.04
200908,0.00,0.00
200909,0.00,-0.11
200910,1.30,0.81
200911,0.00,-0.82
200912,2.05,-0.18
201001,4.30,1.44
201002,3.23,0.24
201003,0.21,-1.52
201004,1.25,0.65
201005,0.08,-0.20
201006,0.00,-0.08
201007,0.00,-0.04
201008,0.00,0.00
201009,0.00,-0.11
201010,1.56,1.07
201011,0.59,-0.23
201012,8.83,6.60
201101,0.81,-2.05
201102,1.47,-1.52
201103,4.04,2.31
201104,0.00,-0.60
201105,0.53,0.25
201106,0.02,-0.06
201107,0.00,-0.04
201108,0.00,0.00
201109,0.01,-0.10
201110,0.63,0.14
201111,1.69,0.87
201112,0.67,-1.56
201201,1.19,-1.67
201202,0.12,-2.87
201203,1.78,0.05
201204,1.51,0.91
201205,0.01,-0.27
201206,0.00,-0.08
201207,0.00,-0.04
201208,0.00,0.00
201209,0.00,-0.11
201210,0.15,-0.34
201211,1.31,0.49
201212,2.82,0.59
201301,1.30,-1.56
201302,0.20,-2.79
201303,0.66,-1.07
201304,0.06,-0.54
201305,0.39,0.11
201306,0.00,-0.08
201307,0.03,-0.01
201308,0.00,0.00
201309,0.00,-0.11
201310,0.02,-0.47
201311,0.69,-0.13
201312,0.30,-1.93
201401,0.00,-2.86
201402,2.79,-0.20
201403,0.36,-1.37
201404,0.26,-0.34
201405,0.00,-0.28
201406,0.00,-0.08
201407,0.14,0.10
201408,0.03,0.03
201409,0.02,-0.09
201410,0.24,-0.25
201411,0.42,-0.40
201412,4.04,1.81
201501,1.25,-1.61
201502,0.27,-2.72
201503,0.49,-1.24
201504,0.11,-0.49
201505,0.43,0.15
201506,0.01,-0.07
201507,0.35,0.31
201508,0.00,0.00
201509,1.81,1.70
201510,0.10,-0.39
201511,0.06,-0.76
201512,1.08,-1.15
201601,2.95,0.09
201602,0.73,-2.26
201603,1.46,-0.27
201604,0.29,-0.31
201605,0.59,0.31
201606,0.00,-0.08
201607,0.00,-0.04
201608,0.00,0.00
201609,0.01,-0.10
201610,0.36,-0.13
201611,1.11,0.29
201612,2.79,0.56
201701,7.44,4.58
201702,4.05,1.06
201703,0.08,-1.65
201704,0.38,-0.22
201705,0.13,-0.15
201706,0.00,-0.08
201707,0.00,-0.04
201708,0.00,0.00
201709,0.08,-0.03
201710,0.00,-0.49
201711,0.10,-0.72
201712,0.01,-2.22
201801,1.40,-1.46
201802,0.10,-2.89
201803,2.07,0.34
201804,0.05,-0.55
201805,0.06,-0.22
201806,0.00,-0.08
201807,0.00,-0.04
201808,0.00,0.00
201809,0.00,-0.11
201810,0.58,0.09
201811,2.09,1.27
201812,1.45,-0.78
201901,5.52,2.66
201902,4.42,1.43
201903,2.10,0.37
201904,0.05,-0.55
201905,0.73,0.45
201906,0.00,-0.08
201907,0.05,0.01
201908,0.00,0.00
201909,0.00,-0.11
201910,0.00,-0.49
201911,1.44,0.62
201912,4.42,2.19
202001,0.38,-2.48
202002,0.00,-2.99
202003,4.11,2.38
202004,2.68,2.08
202005,0.12,-0.16
202006,0.00,-0.08
202007,0.00,-0.04
202008,0.00,0.00
202009,0.00,-0.11
202010,0.00,-0.49
202011,0.10,-0.72
202012,1.65,-0.58
202101,1.91,-0.95
202102,0.02,-2.97
202103,1.32,-0.41
202104,0.00,-0.60
202105,0.00,-0.28
202106,0.00,-0.08
202107,0.12,0.08
202108,0.02,0.02
202109,0.00,-0.11
202110,0.46,-0.03
202111,0.00,-0.82
202112,8.24,6.01
202201,0.09,-2.77
202202,0.04,-2.95
202203,1.10,-0.63
202204,0.23,-0.37
202205,0.00,-0.28
202206,0.01,-0.07
202207,0.00,-0.04
202208,0.00,0.00
202209,0.13,0.02
202210,0.24,-0.25
202211,1.77,0.95
202212,2.79,0.56
202301,6.66,3.80
