Los Angeles, California, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1991-2020
Missing: -99
Date,Value,Anomaly
194408,66.6,-3.3
194409,65.5,-3.8
194410,61.1,-5.3
194411,56.6,-5.0
194412,55.5,-1.5
194501,52.6,-4.6
194502,54.1,-3.2
194503,52.2,-6.3
194504,56.4,-4.0
194505,59.5,-3.4
194506,62.5,-3.2
194507,66.8,-2.0
194508,68.7,-1.2
194509,67.9,-1.4
194510,63.8,-2.6
194511,56.4,-5.2
194512,53.9,-3.1
194601,53.5,-3.7
194602,50.8,-6.5
194603,54.4,-4.1
194604,58.1,-2.3
194605,59.5,-3.4
194606,64.6,-1.1
194607,67.3,-1.5
194608,67.6,-2.3
194609,67.9,-1.4
194610,60.9,-5.5
194611,56.0,-5.6
194612,53.5,-3.5
194701,50.4,-6.8
194702,56.2,-1.1
194703,57.9,-0.6
194704,59.3,-1.1
194705,61.8,-1.1
194706,65.3,-0.4
194707,67.4,-1.4
194708,66.5,-3.4
194709,67.0,-2.3
194710,62.8,-3.6
194711,55.3,-6.3
194712,53.5,-3.5
194801,53.3,-3.9
194802,51.3,-6.0
194803,52.3,-6.2
194804,57.6,-2.8
194805,59.6,-3.3
194806,62.2,-3.5
194807,64.6,-4.2
194808,65.3,-4.6
194809,65.4,-3.9
194810,61.4,-5.0
194811,57.3,-4.3
194812,51.0,-6.0
194901,45.2,-12.0
194902,49.6,-7.7
194903,52.5,-6.0
194904,58.5,-1.9
194905,60.5,-2.4
194906,65.2,-0.5
194907,65.6,-3.2
194908,66.6,-3.3
194909,65.8,-3.5
194910,60.9,-5.5
194911,61.4,-0.2
194912,51.4,-5.6
195001,46.7,-10.5
195002,51.8,-5.5
195003,54.0,-4.5
195004,58.0,-2.4
195005,58.0,-4.9
195006,61.1,-4.6
195007,67.0,-1.8
195008,64.1,-5.8
195009,64.3,-5.0
195010,63.2,-3.2
195011,59.5,-2.1
195012,57.3,0.3
195101,52.2,-5.0
195102,51.6,-5.7
195103,55.1,-3.4
195104,56.5,-3.9
195105,58.6,-4.3
195106,62.7,-3.0
195107,66.8,-2.0
195108,65.6,-4.3
195109,65.6,-3.7
195110,64.0,-2.4
195111,59.0,-2.6
195112,52.2,-4.8
195201,50.5,-6.7
195202,55.1,-2.2
195203,52.3,-6.2
195204,56.5,-3.9
195205,60.5,-2.4
195206,61.1,-4.6
195207,63.9,-4.9
195208,66.5,-3.4
195209,66.1,-3.2
195210,61.5,-4.9
195211,56.4,-5.2
195212,53.5,-3.5
195301,57.0,-0.2
195302,55.7,-1.6
195303,54.6,-3.9
195304,55.4,-5.0
195305,60.2,-2.7
195306,62.3,-3.4
195307,68.6,-0.2
195308,65.0,-4.9
195309,63.5,-5.8
195310,63.4,-3.0
195311,59.6,-2.0
195312,54.9,-2.1
195401,51.7,-5.5
195402,59.0,1.7
195403,53.4,-5.1
195404,56.6,-3.8
195405,59.2,-3.7
195406,62.7,-3.0
195407,69.5,0.7
195408,68.5,-1.4
195409,65.5,-3.8
195410,60.2,-6.2
195411,60.2,-1.4
195412,55.3,-1.7
195501,49.6,-7.6
195502,52.9,-4.4
195503,56.9,-1.6
195504,56.5,-3.9
195505,58.7,-4.2
195506,61.6,-4.1
195507,64.8,-4.0
195508,68.1,-1.8
195509,68.0,-1.3
195510,59.8,-6.6
195511,57.2,-4.4
195512,53.2,-3.8
195601,52.2,-5.0
195602,50.3,-7.0
195603,56.5,-2.0
195604,56.3,-4.1
195605,60.6,-2.3
195606,64.0,-1.7
195607,66.0,-2.8
195608,66.8,-3.1
195609,67.7,-1.6
195610,62.4,-4.0
195611,63.5,1.9
195612,56.5,-0.5
195701,51.5,-5.7
195702,56.8,-0.5
195703,56.6,-1.9
195704,56.8,-3.6
195705,60.0,-2.9
195706,66.2,0.5
195707,69.1,0.3
195708,69.5,-0.4
195709,65.7,-3.6
195710,62.9,-3.5
195711,56.8,-4.8
195712,57.5,0.5
195801,56.1,-1.1
195802,56.9,-0.4
195803,54.7,-3.8
195804,61.3,0.9
195805,63.1,0.2
195806,65.6,-0.1
195807,66.8,-2.0
195808,70.1,0.2
195809,69.5,0.2
195810,68.8,2.4
195811,58.9,-2.7
195812,57.8,0.8
195901,56.6,-0.6
195902,53.3,-4.0
195903,59.9,1.4
195904,61.0,0.6
195905,60.7,-2.2
195906,65.3,-0.4
195907,71.4,2.6
195908,69.5,-0.4
195909,69.1,-0.2
195910,65.0,-1.4
195911,62.5,0.9
195912,57.1,0.1
196001,52.1,-5.1
196002,54.1,-3.2
196003,56.3,-2.2
196004,60.0,-0.4
196005,62.6,-0.3
196006,64.6,-1.1
196007,68.1,-0.7
196008,67.2,-2.7
196009,68.7,-0.6
196010,63.2,-3.2
196011,57.0,-4.6
196012,53.6,-3.4
196101,57.6,0.4
196102,56.6,-0.7
196103,55.6,-2.9
196104,58.4,-2.0
196105,59.6,-3.3
196106,63.8,-1.9
196107,69.9,1.1
196108,68.9,-1.0
196109,66.9,-2.4
196110,64.5,-1.9
196111,57.8,-3.8
196112,52.8,-4.2
196201,54.8,-2.4
196202,52.5,-4.8
196203,52.4,-6.1
196204,59.3,-1.1
196205,60.3,-2.6
196206,61.9,-3.8
196207,64.8,-4.0
196208,68.3,-1.6
196209,66.5,-2.8
196210,63.4,-3.0
196211,58.5,-3.1
196212,55.3,-1.7
196301,54.0,-3.2
196302,59.9,2.6
196303,55.3,-3.2
196304,56.0,-4.4
196305,61.6,-1.3
196306,64.4,-1.3
196307,67.5,-1.3
196308,69.7,-0.2
196309,73.3,4.0
196310,66.6,0.2
196311,60.5,-1.1
196312,56.7,-0.3
196401,54.0,-3.2
196402,54.8,-2.5
196403,54.7,-3.8
196404,56.9,-3.5
196405,57.2,-5.7
196406,60.9,-4.8
196407,65.6,-3.2
196408,68.2,-1.7
196409,65.5,-3.8
196410,65.8,-0.6
196411,57.7,-3.9
196412,53.9,-3.1
196501,54.4,-2.8
196502,54.0,-3.3
196503,56.2,-2.3
196504,57.3,-3.1
196505,59.3,-3.6
196506,61.6,-4.1
196507,64.5,-4.3
196508,70.3,0.4
196509,66.8,-2.5
196510,68.2,1.8
196511,59.3,-2.3
196512,53.9,-3.1
196601,52.3,-4.9
196602,51.7,-5.6
196603,56.3,-2.2
196604,60.5,0.1
196605,62.2,-0.7
196606,65.3,-0.4
196607,66.2,-2.6
196608,70.4,0.5
196609,67.6,-1.7
196610,65.2,-1.2
196611,59.8,-1.8
196612,54.9,-2.1
196701,53.9,-3.3
196702,57.2,-0.1
196703,56.2,-2.3
196704,52.1,-8.3
196705,61.1,-1.8
196706,61.9,-3.8
196707,68.1,-0.7
196708,71.8,1.9
196709,70.0,0.7
196710,67.2,0.8
196711,62.9,1.3
196712,53.4,-3.6
196801,54.5,-2.7
196802,58.7,1.4
196803,58.2,-0.3
196804,59.4,-1.0
196805,60.7,-2.2
196806,64.4,-1.3
196807,66.5,-2.3
196808,66.7,-3.2
196809,66.8,-2.5
196810,63.5,-2.9
196811,59.9,-1.7
196812,52.5,-4.5
196901,55.2,-2.0
196902,52.1,-5.2
196903,54.6,-3.9
196904,58.5,-1.9
196905,61.3,-1.6
196906,63.7,-2.0
196907,67.3,-1.5
196908,69.2,-0.7
196909,65.3,-4.0
196910,64.3,-2.1
196911,62.4,0.8
196912,56.9,-0.1
197001,55.1,-2.1
197002,58.9,1.6
197003,57.5,-1.0
197004,57.5,-2.9
197005,61.5,-1.4
197006,63.9,-1.8
197007,66.9,-1.9
197008,67.6,-2.3
197009,67.4,-1.9
197010,64.2,-2.2
197011,59.4,-2.2
197012,54.2,-2.8
197101,53.7,-3.5
197102,54.9,-2.4
197103,55.0,-3.5
197104,57.0,-3.4
197105,59.6,-3.3
197106,62.9,-2.8
197107,67.7,-1.1
197108,72.4,2.5
197109,69.1,-0.2
197110,63.2,-3.2
197111,57.4,-4.2
197112,51.0,-6.0
197201,52.1,-5.1
197202,55.1,-2.2
197203,58.0,-0.5
197204,59.7,-0.7
197205,62.3,-0.6
197206,65.2,-0.5
197207,68.6,-0.2
197208,71.0,1.1
197209,68.0,-1.3
197210,64.6,-1.8
197211,58.4,-3.2
197212,55.0,-2.0
197301,52.8,-4.4
197302,56.7,-0.6
197303,53.7,-4.8
197304,58.2,-2.2
197305,60.6,-2.3
197306,64.9,-0.8
197307,66.2,-2.6
197308,67.3,-2.6
197309,65.7,-3.6
197310,63.9,-2.5
197311,57.7,-3.9
197312,56.5,-0.5
197401,52.5,-4.7
197402,55.7,-1.6
197403,54.8,-3.7
197404,57.8,-2.6
197405,61.1,-1.8
197406,64.8,-0.9
197407,68.7,-0.1
197408,67.8,-2.1
197409,67.1,-2.2
197410,64.1,-2.3
197411,60.9,-0.7
197412,54.0,-3.0
197501,55.0,-2.2
197502,53.8,-3.5
197503,53.9,-4.6
197504,54.9,-5.5
197505,59.3,-3.6
197506,62.7,-3.0
197507,67.1,-1.7
197508,66.4,-3.5
197509,68.4,-0.9
197510,63.6,-2.8
197511,58.8,-2.8
197512,55.8,-1.2
197601,58.2,1.0
197602,56.1,-1.2
197603,56.6,-1.9
197604,56.2,-4.2
197605,61.4,-1.5
197606,66.2,0.5
197607,68.2,-0.6
197608,67.5,-2.4
197609,68.6,-0.7
197610,67.4,1.0
197611,64.1,2.5
197612,58.3,1.3
197701,55.7,-1.5
197702,58.8,1.5
197703,54.2,-4.3
197704,59.3,-1.1
197705,59.3,-3.6
197706,63.3,-2.4
197707,66.8,-2.0
197708,69.1,-0.8
197709,66.9,-2.4
197710,64.4,-2.0
197711,62.9,1.3
197712,59.1,2.1
197801,56.8,-0.4
197802,56.4,-0.9
197803,60.3,1.8
197804,57.3,-3.1
197805,63.7,0.8
197806,65.8,0.1
197807,65.9,-2.9
197808,68.0,-1.9
197809,71.8,2.5
197810,66.5,0.1
197811,57.2,-4.4
197812,52.4,-4.6
197901,52.8,-4.4
197902,52.4,-4.9
197903,55.7,-2.8
197904,58.4,-2.0
197905,61.8,-1.1
197906,67.4,1.7
197907,66.6,-2.2
197908,69.2,-0.7
197909,72.0,2.7
197910,64.3,-2.1
197911,59.2,-2.4
197912,58.8,1.8
198001,57.8,0.6
198002,59.4,2.1
198003,56.5,-2.0
198004,58.8,-1.6
198005,58.3,-4.6
198006,63.9,-1.8
198007,66.9,-1.9
198008,69.1,-0.8
198009,65.3,-4.0
198010,64.4,-2.0
198011,60.6,-1.0
198012,58.4,1.4
198101,57.7,0.5
198102,58.8,1.5
198103,56.3,-2.2
198104,59.4,-1.0
198105,63.0,0.1
198106,70.1,4.4
198107,69.8,1.0
198108,69.5,-0.4
198109,67.8,-1.5
198110,63.5,-2.9
198111,60.3,-1.3
198112,57.6,0.6
198201,52.8,-4.4
198202,57.3,0.0
198203,55.7,-2.8
198204,58.3,-2.1
198205,60.7,-2.2
198206,61.8,-3.9
198207,67.5,-1.3
198208,69.6,-0.3
198209,69.8,0.5
198210,67.4,1.0
198211,59.4,-2.2
198212,54.5,-2.5
198301,57.0,-0.2
198302,55.6,-1.7
198303,56.0,-2.5
198304,57.4,-3.0
198305,61.2,-1.7
198306,64.0,-1.7
198307,68.3,-0.5
198308,72.2,2.3
198309,71.1,1.8
198310,68.2,1.8
198311,59.6,-2.0
198312,55.7,-1.3
198401,56.9,-0.3
198402,57.2,-0.1
198403,60.0,1.5
198404,60.0,-0.4
198405,64.7,1.8
198406,65.7,0.0
198407,69.9,1.1
198408,71.7,1.8
198409,75.1,5.8
198410,64.2,-2.2
198411,57.3,-4.3
198412,53.9,-3.1
198501,54.1,-3.1
198502,55.2,-2.1
198503,53.9,-4.6
198504,59.3,-1.1
198505,59.8,-3.1
198506,64.7,-1.0
198507,70.0,1.2
198508,68.6,-1.3
198509,67.3,-2.0
198510,65.7,-0.7
198511,57.2,-4.4
198512,57.8,0.8
198601,60.9,3.7
198602,57.3,0.0
198603,57.9,-0.6
198604,60.4,0.0
198605,62.0,-0.9
198606,65.0,-0.7
198607,67.1,-1.7
198608,67.5,-2.4
198609,64.4,-4.9
198610,65.0,-1.4
198611,63.6,2.0
198612,57.0,0.0
198701,53.6,-3.6
198702,57.0,-0.3
198703,57.6,-0.9
198704,61.8,1.4
198705,62.9,0.0
198706,63.3,-2.4
198707,64.9,-3.9
198708,66.3,-3.6
198709,68.3,-1.0
198710,67.6,1.2
198711,60.5,-1.1
198712,52.5,-4.5
198801,55.3,-1.9
198802,59.2,1.9
198803,61.1,2.6
198804,59.9,-0.5
198805,61.6,-1.3
198806,62.3,-3.4
198807,67.8,-1.0
198808,66.9,-3.0
198809,66.3,-3.0
198810,64.7,-1.7
198811,58.7,-2.9
198812,55.1,-1.9
198901,54.0,-3.2
198902,53.5,-3.8
198903,57.5,-1.0
198904,63.4,3.0
198905,61.1,-1.8
198906,63.8,-1.9
198907,68.0,-0.8
198908,66.3,-3.6
198909,66.9,-2.4
198910,64.5,-1.9
198911,63.8,2.2
198912,59.1,2.1
199001,55.7,-1.5
199002,53.6,-3.7
199003,56.2,-2.3
199004,61.1,0.7
199005,61.3,-1.6
199006,66.1,0.4
199007,70.0,1.2
199008,68.3,-1.6
199009,69.6,0.3
199010,68.2,1.8
199011,62.8,1.2
199012,55.4,-1.6
199101,55.8,-1.4
199102,58.5,1.2
199103,53.6,-4.9
199104,59.6,-0.8
199105,59.0,-3.9
199106,62.5,-3.2
199107,65.7,-3.1
199108,67.6,-2.3
199109,66.4,-2.9
199110,65.9,-0.5
199111,62.0,0.4
199112,57.3,0.3
199201,57.0,-0.2
199202,59.4,2.1
199203,57.8,-0.7
199204,64.3,3.9
199205,64.7,1.8
199206,64.6,-1.1
199207,70.1,1.3
199208,72.2,2.3
199209,69.4,0.1
199210,65.6,-0.8
199211,62.3,0.7
199212,54.5,-2.5
199301,54.8,-2.4
199302,55.7,-1.6
199303,59.1,0.6
199304,61.4,1.0
199305,63.8,0.9
199306,66.9,1.2
199307,68.2,-0.6
199308,68.1,-1.8
199309,67.7,-1.6
199310,67.0,0.6
199311,62.2,0.6
199312,57.1,0.1
199401,57.8,0.6
199402,55.7,-1.6
199403,59.3,0.8
199404,58.8,-1.6
199405,60.6,-2.3
199406,66.9,1.2
199407,66.5,-2.3
199408,73.3,3.4
199409,69.3,0.0
199410,65.5,-0.9
199411,56.5,-5.1
199412,56.2,-0.8
199501,55.5,-1.7
199502,60.3,3.0
199503,58.7,0.2
199504,59.2,-1.2
199505,59.0,-3.9
199506,63.0,-2.7
199507,66.9,-1.9
199508,67.6,-2.3
199509,69.3,0.0
199510,66.0,-0.4
199511,61.5,-0.1
199512,57.5,0.5
199601,56.8,-0.4
199602,56.9,-0.4
199603,58.7,0.2
199604,62.8,2.4
199605,64.5,1.6
199606,65.9,0.2
199607,68.1,-0.7
199608,71.9,2.0
199609,67.7,-1.6
199610,62.5,-3.9
199611,60.7,-0.9
199612,56.8,-0.2
199701,55.9,-1.3
199702,57.3,0.0
199703,59.8,1.3
199704,60.3,-0.1
199705,67.2,4.3
199706,67.3,1.6
199707,68.0,-0.8
199708,70.8,0.9
199709,73.3,4.0
199710,67.1,0.7
199711,62.4,0.8
199712,56.5,-0.5
199801,56.2,-1.0
199802,55.4,-1.9
199803,58.5,0.0
199804,57.4,-3.0
199805,60.3,-2.6
199806,63.6,-2.1
199807,68.6,-0.2
199808,71.2,1.3
199809,68.6,-0.7
199810,64.3,-2.1
199811,59.1,-2.5
199812,55.5,-1.5
199901,56.4,-0.8
199902,55.8,-1.5
199903,54.0,-4.5
199904,56.2,-4.2
199905,60.3,-2.6
199906,62.7,-3.0
199907,67.7,-1.1
199908,68.1,-1.8
199909,67.1,-2.2
199910,67.5,1.1
199911,59.9,-1.7
199912,58.6,1.6
200001,57.8,0.6
200002,57.1,-0.2
200003,57.3,-1.2
200004,60.4,0.0
200005,63.7,0.8
200006,67.4,1.7
200007,68.0,-0.8
200008,70.1,0.2
200009,69.0,-0.3
200010,63.0,-3.4
200011,57.5,-4.1
200012,57.8,0.8
200101,54.3,-2.9
200102,53.5,-3.8
200103,57.2,-1.3
200104,56.5,-3.9
200105,63.3,0.4
200106,66.8,1.1
200107,67.2,-1.6
200108,67.8,-2.1
200109,67.2,-2.1
200110,64.6,-1.8
200111,60.0,-1.6
200112,55.0,-2.0
200201,54.8,-2.4
200202,58.3,1.0
200203,57.4,-1.1
200204,58.3,-2.1
200205,61.2,-1.7
200206,65.1,-0.6
200207,67.8,-1.0
200208,67.0,-2.9
200209,67.0,-2.3
200210,62.2,-4.2
200211,63.1,1.5
200212,55.7,-1.3
200301,61.5,4.3
200302,57.4,0.1
200303,58.6,0.1
200304,57.7,-2.7
200305,60.5,-2.4
200306,64.5,-1.2
200307,70.9,2.1
200308,70.4,0.5
200309,67.2,-2.1
200310,66.8,0.4
200311,59.0,-2.6
200312,56.1,-0.9
200401,56.2,-1.0
200402,55.0,-2.3
200403,60.4,1.9
200404,61.5,1.1
200405,66.1,3.2
200406,66.2,0.5
200407,68.7,-0.1
200408,68.7,-1.2
200409,71.9,2.6
200410,63.0,-3.4
200411,58.3,-3.3
200412,56.7,-0.3
200501,56.8,-0.4
200502,57.5,0.2
200503,58.0,-0.5
200504,59.3,-1.1
200505,63.3,0.4
200506,64.3,-1.4
200507,68.0,-0.8
200508,69.0,-0.9
200509,66.9,-2.4
200510,64.4,-2.0
200511,63.2,1.6
200512,58.4,1.4
200601,57.5,0.3
200602,58.4,1.1
200603,54.1,-4.4
200604,58.8,-1.6
200605,63.8,0.9
200606,69.0,3.3
200607,74.0,5.2
200608,70.5,0.6
200609,68.6,-0.7
200610,65.6,-0.8
200611,63.3,1.7
200612,57.1,0.1
200701,54.2,-3.0
200702,57.3,0.0
200703,59.7,1.2
200704,59.8,-0.6
200705,61.8,-1.1
200706,64.5,-1.2
200707,69.7,0.9
200708,71.1,1.2
200709,68.1,-1.2
200710,66.0,-0.4
200711,61.2,-0.4
200712,55.6,-1.4
200801,55.6,-1.6
200802,56.5,-0.8
200803,59.8,1.3
200804,62.4,2.0
200805,63.8,0.9
200806,68.2,2.5
200807,69.6,0.8
200808,69.7,-0.2
200809,68.4,-0.9
200810,68.6,2.2
200811,63.8,2.2
200812,54.6,-2.4
200901,59.8,2.6
200902,56.0,-1.3
200903,57.5,-1.0
200904,59.9,-0.5
200905,63.6,0.7
200906,64.7,-1.0
200907,68.2,-0.6
200908,68.6,-1.3
200909,69.7,0.4
200910,64.8,-1.6
200911,61.3,-0.3
200912,56.0,-1.0
201001,58.2,1.0
201002,57.3,0.0
201003,59.6,1.1
201004,58.2,-2.2
201005,60.7,-2.2
201006,64.4,-1.3
201007,65.5,-3.3
201008,65.6,-4.3
201009,66.6,-2.7
201010,65.3,-1.1
201011,61.2,-0.4
201012,57.9,0.9
201101,58.9,1.7
201102,55.1,-2.2
201103,57.7,-0.8
201104,61.5,1.1
201105,62.2,-0.7
201106,63.5,-2.2
201107,68.1,-0.7
201108,67.4,-2.5
201109,66.7,-2.6
201110,64.2,-2.2
201111,58.9,-2.7
201112,54.8,-2.2
201201,59.1,1.9
201202,56.8,-0.5
201203,56.9,-1.6
201204,59.5,-0.9
201205,62.8,-0.1
201206,65.1,-0.6
201207,66.4,-2.4
201208,72.0,2.1
201209,72.0,2.7
201210,68.8,2.4
201211,62.4,0.8
201212,56.3,-0.7
201301,56.2,-1.0
201302,55.9,-1.4
201303,58.9,0.4
201304,61.9,1.5
201305,66.3,3.4
201306,67.7,2.0
201307,68.7,-0.1
201308,68.4,-1.5
201309,69.9,0.6
201310,65.5,-0.9
201311,63.8,2.2
201312,58.8,1.8
201401,61.1,3.9
201402,59.5,2.2
201403,62.1,3.6
201404,62.4,2.0
201405,68.7,5.8
201406,67.4,1.7
201407,71.6,2.8
201408,71.0,1.1
201409,72.8,3.5
201410,69.7,3.3
201411,64.7,3.1
201412,57.9,0.9
201501,59.6,2.4
201502,60.8,3.5
201503,64.2,5.7
201504,62.0,1.6
201505,60.8,-2.1
201506,66.1,0.4
201507,70.1,1.3
201508,72.5,2.6
201509,74.9,5.6
201510,73.7,7.3
201511,62.0,0.4
201512,57.1,0.1
201601,56.7,-0.5
201602,62.8,5.5
201603,60.2,1.7
201604,63.3,2.9
201605,62.5,-0.4
201606,66.6,0.9
201607,71.4,2.6
201608,70.3,0.4
201609,70.8,1.5
201610,68.0,1.6
201611,64.6,3.0
201612,57.9,0.9
201701,55.5,-1.7
201702,56.9,-0.4
201703,60.8,2.3
201704,63.4,3.0
201705,63.0,0.1
201706,66.5,0.8
201707,71.0,2.2
201708,71.3,1.4
201709,70.8,1.5
201710,70.8,4.4
201711,64.8,3.2
201712,60.7,3.7
201801,61.2,4.0
201802,57.7,0.4
201803,58.0,-0.5
201804,61.3,0.9
201805,62.2,-0.7
201806,66.4,0.7
201807,73.8,5.0
201808,74.1,4.2
201809,69.4,0.1
201810,68.0,1.6
201811,64.3,2.7
201812,58.0,1.0
201901,56.8,-0.4
201902,52.9,-4.4
201903,58.8,0.3
201904,62.0,1.6
201905,61.4,-1.5
201906,65.8,0.1
201907,68.7,-0.1
201908,69.8,-0.1
201909,72.7,3.4
201910,69.4,3.0
201911,62.9,1.3
201912,58.1,1.1
202001,58.8,1.6
202002,60.4,3.1
202003,59.2,0.7
202004,62.9,2.5
202005,66.1,3.2
202006,67.4,1.7
202007,67.7,-1.1
202008,71.5,1.6
202009,70.8,1.5
202010,69.6,3.2
202011,60.3,-1.3
202012,58.6,1.6
202101,57.6,0.4
202102,57.8,0.5
202103,56.6,-1.9
202104,60.9,0.5
202105,62.3,-0.6
202106,65.6,-0.1
202107,68.8,0.0
202108,69.7,-0.2
202109,68.4,-0.9
202110,65.7,-0.7
202111,63.7,2.1
202112,55.3,-1.7
202201,59.3,2.1
202202,59.9,2.6
202203,60.9,2.4
202204,63.1,2.7
202205,63.7,0.8
202206,68.0,2.3
202207,69.6,0.8
202208,72.2,2.3
202209,76.0,6.7
202210,68.5,2.1
202211,60.1,-1.5
202212,56.8,-0.2
202301,55.0,-2.2
