San Diego, California, Precipitation
Units: Inches
Base Period: 1991-2020
Missing: -99
Date,Value,Anomaly
193907,0.00,-0.08
193908,0.00,-0.01
193909,3.15,3.03
193910,0.62,0.12
193911,1.13,0.34
193912,0.54,-1.13
194001,2.15,0.17
194002,3.56,1.36
194003,0.82,-0.64
194004,0.46,-0.19
194005,0.00,-0.28
194006,0.00,-0.05
194007,0.00,-0.08
194008,0.00,-0.01
194009,0.08,-0.04
194010,1.50,1.00
194011,0.49,-0.30
194012,6.09,4.42
194101,2.03,0.05
194102,5.32,3.12
194103,5.89,4.43
194104,3.35,2.70
194105,0.00,-0.28
194106,0.00,-0.05
194107,0.06,-0.02
194108,0.03,0.02
194109,0.28,0.16
194110,2.90,2.40
194111,2.23,1.44
194112,2.85,1.18
194201,0.21,-1.77
194202,1.07,-1.13
194203,1.91,0.45
194204,1.40,0.75
194205,0.11,-0.17
194206,0.01,-0.04
194207,0.00,-0.08
194208,0.00,-0.01
194209,0.00,-0.12
194210,0.27,-0.23
194211,0.27,-0.52
194212,0.69,-0.98
194301,6.26,4.28
194302,1.40,-0.80
194303,1.66,0.20
194304,0.52,-0.13
194305,0.02,-0.26
194306,0.01,-0.04
194307,0.00,-0.08
194308,0.00,-0.01
194309,0.04,-0.08
194310,0.20,-0.30
194311,0.03,-0.76
194312,7.60,5.93
194401,1.22,-0.76
194402,3.65,1.45
194403,0.80,-0.66
194404,0.61,-0.04
194405,0.22,-0.06
194406,0.10,0.05
194407,0.00,-0.08
194408,0.00,-0.01
194409,0.00,-0.12
194410,0.00,-0.50
194411,4.93,4.14
194412,1.53,-0.14
194501,0.42,-1.56
194502,1.91,-0.29
194503,2.03,0.57
194504,0.03,-0.62
194505,0.04,-0.24
194506,0.15,0.10
194507,0.00,-0.08
194508,0.87,0.86
194509,0.03,-0.09
194510,0.00,-0.50
194511,0.13,-0.66
194512,3.62,1.95
194601,0.89,-1.09
194602,0.60,-1.60
194603,2.67,1.21
194604,0.52,-0.13
194605,0.01,-0.27
194606,0.00,-0.05
194607,0.00,-0.08
194608,0.00,-0.01
194609,0.00,-0.12
194610,0.35,-0.15
194611,2.54,1.75
194612,1.18,-0.49
194701,0.35,-1.63
194702,0.43,-1.77
194703,0.98,-0.48
194704,0.36,-0.29
194705,0.17,-0.11
194706,0.00,-0.05
194707,0.00,-0.08
194708,0.00,-0.01
194709,0.18,0.06
194710,0.08,-0.42
194711,0.72,-0.07
194712,3.02,1.35
194801,0.00,-1.98
194802,1.07,-1.13
194803,1.60,0.14
194804,0.13,-0.52
194805,0.01,-0.27
194806,0.02,-0.03
194807,0.00,-0.08
194808,0.00,-0.01
194809,0.00,-0.12
194810,1.32,0.82
194811,0.11,-0.68
194812,2.38,0.71
194901,3.57,1.59
194902,1.81,-0.39
194903,0.75,-0.71
194904,0.09,-0.56
194905,0.41,0.13
194906,0.00,-0.05
194907,0.00,-0.08
194908,0.00,-0.01
194909,0.00,-0.12
194910,0.23,-0.27
194911,1.16,0.37
194912,0.86,-0.81
195001,3.32,1.34
195002,1.63,-0.57
195003,1.01,-0.45
195004,0.28,-0.37
195005,0.09,-0.19
195006,0.00,-0.05
195007,0.08,0.00
195008,0.00,-0.01
195009,0.00,-0.12
195010,0.01,-0.49
195011,1.23,0.44
195012,0.05,-1.62
195101,1.59,-0.39
195102,0.50,-1.70
195103,0.50,-0.96
195104,1.94,1.29
195105,0.00,-0.28
195106,0.00,-0.05
195107,0.00,-0.08
195108,0.85,0.84
195109,0.04,-0.08
195110,0.69,0.19
195111,1.24,0.45
195112,3.87,2.20
195201,4.25,2.27
195202,0.61,-1.59
195203,4.98,3.52
195204,1.54,0.89
195205,0.00,-0.28
195206,0.14,0.09
195207,0.00,-0.08
195208,0.00,-0.01
195209,0.00,-0.12
195210,0.00,-0.50
195211,1.83,1.04
195212,2.20,0.53
195301,0.58,-1.40
195302,0.58,-1.62
195303,0.79,-0.67
195304,0.34,-0.31
195305,0.09,-0.19
195306,0.14,0.09
195307,0.00,-0.08
195308,0.00,-0.01
195309,0.00,-0.12
195310,0.07,-0.43
195311,0.80,0.01
195312,0.03,-1.64
195401,2.76,0.78
195402,1.03,-1.17
195403,4.31,2.85
195404,0.09,-0.56
195405,0.01,-0.27
195406,0.03,-0.02
195407,0.00,-0.08
195408,0.00,-0.01
195409,0.00,-0.12
195410,0.00,-0.50
195411,0.74,-0.05
195412,0.55,-1.12
195501,3.59,1.61
195502,0.56,-1.64
195503,0.38,-1.08
195504,0.90,0.25
195505,0.49,0.21
195506,0.00,-0.05
195507,0.00,-0.08
195508,0.11,0.10
195509,0.00,-0.12
195510,0.00,-0.50
195511,0.55,-0.24
195512,0.33,-1.34
195601,1.65,-0.33
195602,0.22,-1.98
195603,0.00,-1.46
195604,1.56,0.91
195605,0.10,-0.18
195606,0.00,-0.05
195607,0.00,-0.08
195608,0.00,-0.01
195609,0.00,-0.12
195610,0.68,0.18
195611,0.00,-0.79
195612,0.18,-1.49
195701,4.80,2.82
195702,0.50,-1.70
195703,0.75,-0.71
195704,0.84,0.19
195705,0.88,0.60
195706,0.26,0.21
195707,0.00,-0.08
195708,0.00,-0.01
195709,0.37,0.25
195710,1.76,1.26
195711,0.59,-0.20
195712,1.38,-0.29
195801,0.62,-1.36
195802,3.15,0.95
195803,3.99,2.53
195804,1.65,1.00
195805,0.40,0.12
195806,0.00,-0.05
195807,0.00,-0.08
195808,0.00,-0.01
195809,0.62,0.50
195810,0.01,-0.49
195811,0.44,-0.35
195812,0.06,-1.61
195901,0.08,-1.90
195902,3.76,1.56
195903,0.00,-1.46
195904,0.31,-0.34
195905,0.00,-0.28
195906,0.00,-0.05
195907,0.00,-0.08
195908,0.00,-0.01
195909,0.04,-0.08
195910,0.23,-0.27
195911,0.02,-0.77
195912,1.44,-0.23
196001,2.99,1.01
196002,1.45,-0.75
196003,0.55,-0.91
196004,0.56,-0.09
196005,0.17,-0.11
196006,0.00,-0.05
196007,0.00,-0.08
196008,0.00,-0.01
196009,0.06,-0.06
196010,0.04,-0.46
196011,1.01,0.22
196012,0.22,-1.45
196101,1.20,-0.78
196102,0.06,-2.14
196103,0.85,-0.61
196104,0.00,-0.65
196105,0.01,-0.27
196106,0.00,-0.05
196107,0.00,-0.08
196108,0.04,0.03
196109,0.00,-0.12
196110,0.20,-0.30
196111,0.79,0.00
196112,1.45,-0.22
196201,2.71,0.73
196202,3.09,0.89
196203,0.64,-0.82
196204,0.01,-0.64
196205,0.62,0.34
196206,0.09,0.04
196207,0.00,-0.08
196208,0.00,-0.01
196209,0.00,-0.12
196210,0.01,-0.49
196211,0.01,-0.78
196212,0.22,-1.45
196301,0.11,-1.87
196302,1.22,-0.98
196303,1.33,-0.13
196304,0.72,0.07
196305,0.09,-0.19
196306,0.28,0.23
196307,0.00,-0.08
196308,0.00,-0.01
196309,1.90,1.78
196310,0.13,-0.37
196311,1.85,1.06
196312,0.10,-1.57
196401,1.30,-0.68
196402,0.37,-1.83
196403,0.97,-0.49
196404,0.20,-0.45
196405,0.15,-0.13
196406,0.08,0.03
196407,0.00,-0.08
196408,0.00,-0.01
196409,0.00,-0.12
196410,0.02,-0.48
196411,1.01,0.22
196412,1.17,-0.50
196501,0.40,-1.58
196502,0.52,-1.68
196503,1.79,0.33
196504,3.58,2.93
196505,0.00,-0.28
196506,0.01,-0.04
196507,0.02,-0.06
196508,0.00,-0.01
196509,0.29,0.17
196510,0.00,-0.50
196511,5.83,5.04
196512,6.59,4.92
196601,1.30,-0.68
196602,0.86,-1.34
196603,0.17,-1.29
196604,0.00,-0.65
196605,0.02,-0.26
196606,0.00,-0.05
196607,0.00,-0.08
196608,0.00,-0.01
196609,0.00,-0.12
196610,0.80,0.30
196611,0.83,0.04
196612,3.22,1.55
196701,2.20,0.22
196702,0.00,-2.20
196703,1.14,-0.32
196704,2.24,1.59
196705,0.06,-0.22
196706,0.16,0.11
196707,0.01,-0.07
196708,0.14,0.13
196709,0.08,-0.04
196710,0.00,-0.50
196711,3.53,2.74
196712,1.66,-0.01
196801,0.35,-1.63
196802,0.22,-1.98
196803,1.55,0.09
196804,0.34,-0.31
196805,0.08,-0.20
196806,0.00,-0.05
196807,0.13,0.05
196808,0.00,-0.01
196809,0.00,-0.12
196810,0.04,-0.46
196811,0.37,-0.42
196812,0.61,-1.06
196901,4.79,2.81
196902,4.34,2.14
196903,0.94,-0.52
196904,0.21,-0.44
196905,0.17,-0.11
196906,0.02,-0.03
196907,0.00,-0.08
196908,0.01,0.00
196909,0.00,-0.12
196910,0.04,-0.46
196911,0.80,0.01
196912,0.46,-1.21
197001,0.86,-1.12
197002,2.58,0.38
197003,1.50,0.04
197004,0.09,-0.56
197005,0.01,-0.27
197006,0.00,-0.05
197007,0.00,-0.08
197008,0.00,-0.01
197009,0.00,-0.12
197010,0.07,-0.43
197011,2.05,1.26
197012,2.22,0.55
197101,0.30,-1.68
197102,1.27,-0.93
197103,0.20,-1.26
197104,0.94,0.29
197105,0.95,0.67
197106,0.01,-0.04
197107,0.00,-0.08
197108,0.03,0.02
197109,0.00,-0.12
197110,1.66,1.16
197111,0.06,-0.73
197112,3.27,1.60
197201,0.07,-1.91
197202,0.10,-2.10
197203,0.00,-1.46
197204,0.02,-0.63
197205,0.10,-0.18
197206,0.39,0.34
197207,0.00,-0.08
197208,0.02,0.01
197209,0.44,0.32
197210,0.58,0.08
197211,3.16,2.37
197212,1.61,-0.06
197301,1.68,-0.30
197302,1.64,-0.56
197303,2.26,0.80
197304,0.05,-0.60
197305,0.00,-0.28
197306,0.00,-0.05
197307,0.00,-0.08
197308,0.00,-0.01
197309,0.02,-0.10
197310,0.01,-0.49
197311,1.63,0.84
197312,0.19,-1.48
197401,2.96,0.98
197402,0.04,-2.16
197403,1.70,0.24
197404,0.02,-0.63
197405,0.01,-0.27
197406,0.02,-0.03
197407,0.01,-0.07
197408,0.00,-0.01
197409,0.00,-0.12
197410,1.03,0.53
197411,0.14,-0.65
197412,2.20,0.53
197501,0.49,-1.49
197502,0.96,-1.24
197503,3.79,2.33
197504,2.00,1.35
197505,0.01,-0.27
197506,0.02,-0.03
197507,0.00,-0.08
197508,0.00,-0.01
197509,0.00,-0.12
197510,0.09,-0.41
197511,0.64,-0.15
197512,0.37,-1.30
197601,0.00,-1.98
197602,5.39,3.19
197603,0.99,-0.47
197604,1.33,0.68
197605,0.27,-0.01
197606,0.02,-0.03
197607,0.02,-0.06
197608,0.01,0.00
197609,1.00,0.88
197610,0.38,-0.12
197611,0.75,-0.04
197612,1.06,-0.61
197701,2.37,0.39
197702,0.06,-2.14
197703,0.61,-0.85
197704,0.01,-0.64
197705,1.79,1.51
197706,0.03,-0.02
197707,0.00,-0.08
197708,2.13,2.12
197709,0.00,-0.12
197710,0.50,0.00
197711,0.06,-0.73
197712,1.67,0.00
197801,5.95,3.97
197802,2.64,0.44
197803,5.00,3.54
197804,0.74,0.09
197805,0.04,-0.24
197806,0.00,-0.05
197807,0.00,-0.08
197808,0.00,-0.01
197809,0.72,0.60
197810,0.05,-0.45
197811,2.09,1.30
197812,2.20,0.53
197901,5.83,3.85
197902,0.85,-1.35
197903,3.70,2.24
197904,0.02,-0.63
197905,0.09,-0.19
197906,0.01,-0.04
197907,0.09,0.01
197908,0.01,0.00
197909,0.00,-0.12
197910,0.73,0.23
197911,0.27,-0.52
197912,0.02,-1.65
198001,5.58,3.60
198002,4.47,2.27
198003,2.71,1.25
198004,1.18,0.53
198005,0.65,0.37
198006,0.01,-0.04
198007,0.00,-0.08
198008,0.00,-0.01
198009,0.00,-0.12
198010,0.05,-0.45
198011,0.00,-0.79
198012,0.31,-1.36
198101,1.48,-0.50
198102,2.26,0.06
198103,3.75,2.29
198104,0.22,-0.43
198105,0.04,-0.24
198106,0.00,-0.05
198107,0.00,-0.08
198108,0.00,-0.01
198109,0.03,-0.09
198110,0.14,-0.36
198111,1.79,1.00
198112,0.54,-1.13
198201,2.71,0.73
198202,0.88,-1.32
198203,4.75,3.29
198204,0.62,-0.03
198205,0.01,-0.27
198206,0.04,-0.01
198207,0.00,-0.08
198208,0.00,-0.01
198209,0.38,0.26
198210,0.05,-0.45
198211,2.10,1.31
198212,1.43,-0.24
198301,2.09,0.11
198302,3.88,1.68
198303,6.57,5.11
198304,1.74,1.09
198305,0.01,-0.27
198306,0.00,-0.05
198307,0.01,-0.07
198308,0.39,0.38
198309,0.22,0.10
198310,0.40,-0.10
198311,1.94,1.15
198312,1.53,-0.14
198401,0.46,-1.52
198402,0.09,-2.11
198403,0.04,-1.42
198404,0.62,-0.03
198405,0.00,-0.28
198406,0.04,-0.01
198407,0.19,0.11
198408,0.06,0.05
198409,0.00,-0.12
198410,0.29,-0.21
198411,2.37,1.58
198412,4.55,2.88
198501,0.52,-1.46
198502,0.77,-1.43
198503,0.58,-0.88
198504,0.32,-0.33
198505,0.00,-0.28
198506,0.00,-0.05
198507,0.00,-0.08
198508,0.00,-0.01
198509,0.20,0.08
198510,0.30,-0.20
198511,4.93,4.14
198512,1.06,-0.61
198601,0.75,-1.23
198602,2.59,0.39
198603,3.12,1.66
198604,1.17,0.52
198605,0.00,-0.28
198606,0.00,-0.05
198607,0.01,-0.07
198608,0.00,-0.01
198609,1.04,0.92
198610,1.39,0.89
198611,1.16,0.37
198612,0.95,-0.72
198701,1.68,-0.30
198702,1.54,-0.66
198703,1.04,-0.42
198704,0.78,0.13
198705,0.03,-0.25
198706,0.00,-0.05
198707,0.03,-0.05
198708,0.01,0.00
198709,0.70,0.58
198710,1.74,1.24
198711,1.33,0.54
198712,2.73,1.06
198801,0.89,-1.09
198802,1.37,-0.83
198803,0.59,-0.87
198804,3.71,3.06
198805,0.08,-0.20
198806,0.00,-0.05
198807,0.00,-0.08
198808,0.00,-0.01
198809,0.00,-0.12
198810,0.00,-0.50
198811,1.39,0.60
198812,2.23,0.56
198901,0.42,-1.56
198902,0.70,-1.50
198903,0.69,-0.77
198904,0.12,-0.53
198905,0.04,-0.24
198906,0.06,0.01
198907,0.00,-0.08
198908,0.00,-0.01
198909,0.23,0.11
198910,0.47,-0.03
198911,0.09,-0.70
198912,1.01,-0.66
199001,2.52,0.54
199002,1.13,-1.07
199003,0.25,-1.21
199004,0.77,0.12
199005,0.51,0.23
199006,0.87,0.82
199007,0.00,-0.08
199008,0.01,0.00
199009,0.00,-0.12
199010,0.00,-0.50
199011,0.65,-0.14
199012,0.59,-1.08
199101,1.06,-0.92
199102,2.46,0.26
199103,6.96,5.50
199104,0.05,-0.60
199105,0.01,-0.27
199106,0.00,-0.05
199107,0.24,0.16
199108,0.01,0.00
199109,0.28,0.16
199110,0.69,0.19
199111,0.05,-0.74
199112,1.70,0.03
199201,1.81,-0.17
199202,3.34,1.14
199203,4.43,2.97
199204,0.28,-0.37
199205,0.07,-0.21
199206,0.04,-0.01
199207,0.03,-0.05
199208,0.05,0.04
199209,0.00,-0.12
199210,0.18,-0.32
199211,0.03,-0.76
199212,2.56,0.89
199301,9.09,7.11
199302,4.73,2.53
199303,1.22,-0.24
199304,0.00,-0.65
199305,0.01,-0.27
199306,0.41,0.36
199307,0.03,-0.05
199308,0.00,-0.01
199309,0.00,-0.12
199310,0.22,-0.28
199311,0.77,-0.02
199312,0.78,-0.89
199401,0.70,-1.28
199402,2.75,0.55
199403,3.67,2.21
199404,0.93,0.28
199405,0.07,-0.21
199406,0.00,-0.05
199407,0.03,-0.05
199408,0.01,0.00
199409,0.00,-0.12
199410,0.01,-0.49
199411,0.46,-0.33
199412,0.80,-0.87
199501,8.05,6.07
199502,1.93,-0.27
199503,3.82,2.36
199504,0.96,0.31
199505,0.59,0.31
199506,0.46,0.41
199507,0.05,-0.03
199508,0.00,-0.01
199509,0.00,-0.12
199510,0.00,-0.50
199511,0.30,-0.49
199512,0.88,-0.79
199601,1.52,-0.46
199602,0.88,-1.32
199603,1.10,-0.36
199604,0.37,-0.28
199605,0.02,-0.26
199606,0.00,-0.05
199607,0.09,0.01
199608,0.00,-0.01
199609,0.03,-0.09
199610,0.94,0.44
199611,1.70,0.91
199612,0.64,-1.03
199701,3.02,1.04
199702,0.31,-1.89
199703,0.00,-1.46
199704,0.28,-0.37
199705,0.00,-0.28
199706,0.00,-0.05
199707,0.00,-0.08
199708,0.00,-0.01
199709,0.85,0.73
199710,0.02,-0.48
199711,1.17,0.38
199712,1.35,-0.32
199801,2.68,0.70
199802,7.65,5.45
199803,2.21,0.75
199804,1.11,0.46
199805,0.64,0.36
199806,0.10,0.05
199807,0.20,0.12
199808,0.00,-0.01
199809,0.03,-0.09
199810,0.08,-0.42
199811,0.69,-0.10
199812,0.66,-1.01
199901,1.54,-0.44
199902,0.70,-1.50
199903,1.09,-0.37
199904,1.62,0.97
199905,0.06,-0.22
199906,0.04,-0.01
199907,0.00,-0.08
199908,0.00,-0.01
199909,0.02,-0.10
199910,0.00,-0.50
199911,0.04,-0.75
199912,0.32,-1.35
200001,0.17,-1.81
200002,3.67,1.47
200003,1.00,-0.46
200004,0.54,-0.11
200005,0.00,-0.28
200006,0.00,-0.05
200007,0.00,-0.08
200008,0.01,0.00
200009,0.00,-0.12
200010,1.25,0.75
200011,0.26,-0.53
200012,0.01,-1.66
200101,3.28,1.30
200102,2.38,0.18
200103,0.63,-0.83
200104,0.76,0.11
200105,0.01,-0.27
200106,0.00,-0.05
200107,0.00,-0.08
200108,0.00,-0.01
200109,0.00,-0.12
200110,0.00,-0.50
200111,0.94,0.15
200112,0.46,-1.21
200201,0.32,-1.66
200202,0.17,-2.03
200203,0.46,-1.00
200204,0.63,-0.02
200205,0.00,-0.28
200206,0.00,-0.05
200207,0.00,-0.08
200208,0.00,-0.01
200209,0.31,0.19
200210,0.04,-0.46
200211,0.32,-0.47
200212,1.98,0.31
200301,0.02,-1.96
200302,4.88,2.68
200303,1.36,-0.10
200304,1.41,0.76
200305,0.30,0.02
200306,0.00,-0.05
200307,0.00,-0.08
200308,0.00,-0.01
200309,0.00,-0.12
200310,0.00,-0.50
200311,0.60,-0.19
200312,0.61,-1.06
200401,0.34,-1.64
200402,2.81,0.61
200403,0.22,-1.24
200404,0.60,-0.05
200405,0.00,-0.28
200406,0.00,-0.05
200407,0.00,-0.08
200408,0.00,-0.01
200409,0.00,-0.12
200410,4.98,4.48
200411,0.33,-0.46
200412,4.01,2.34
200501,4.50,2.52
200502,5.83,3.63
200503,2.12,0.66
200504,0.59,-0.06
200505,0.12,-0.16
200506,0.02,-0.03
200507,0.01,-0.07
200508,0.00,-0.01
200509,0.10,-0.02
200510,0.46,-0.04
200511,0.12,-0.67
200512,0.25,-1.42
200601,0.36,-1.62
200602,1.11,-1.09
200603,1.36,-0.10
200604,0.88,0.23
200605,0.77,0.49
200606,0.00,-0.05
200607,0.04,-0.04
200608,0.01,0.00
200609,0.00,-0.12
200610,0.76,0.26
200611,0.15,-0.64
200612,0.71,-0.96
200701,0.51,-1.47
200702,1.13,-1.07
200703,0.09,-1.37
200704,0.46,-0.19
200705,0.00,-0.28
200706,0.00,-0.05
200707,0.00,-0.08
200708,0.00,-0.01
200709,0.05,-0.07
200710,0.37,-0.13
200711,0.97,0.18
200712,0.80,-0.87
200801,3.34,1.36
200802,1.21,-0.99
200803,0.26,-1.20
200804,0.00,-0.65
200805,0.23,-0.05
200806,0.02,-0.03
200807,0.00,-0.08
200808,0.00,-0.01
200809,0.00,-0.12
200810,0.18,-0.32
200811,2.49,1.70
200812,3.38,1.71
200901,0.08,-1.90
200902,2.63,0.43
200903,0.18,-1.28
200904,0.14,-0.51
200905,0.04,-0.24
200906,0.03,-0.02
200907,0.00,-0.08
200908,0.00,-0.01
200909,0.00,-0.12
200910,0.00,-0.50
200911,0.12,-0.67
200912,2.28,0.61
201001,3.38,1.40
201002,2.28,0.08
201003,0.68,-0.78
201004,1.78,1.13
201005,0.01,-0.27
201006,0.02,-0.03
201007,0.02,-0.06
201008,0.00,-0.01
201009,0.03,-0.09
201010,2.18,1.68
201011,0.89,0.10
201012,5.01,3.34
201101,0.30,-1.68
201102,2.10,-0.10
201103,1.46,0.00
201104,0.26,-0.39
201105,0.36,0.08
201106,0.03,-0.02
201107,0.00,-0.08
201108,0.00,-0.01
201109,0.13,0.01
201110,0.46,-0.04
201111,3.13,2.34
201112,0.86,-0.81
201201,0.40,-1.58
201202,1.19,-1.01
201203,0.97,-0.49
201204,0.87,0.22
201205,0.02,-0.26
201206,0.00,-0.05
201207,0.00,-0.08
201208,0.00,-0.01
201209,0.00,-0.12
201210,0.70,0.20
201211,0.29,-0.50
201212,2.19,0.52
201301,1.21,-0.77
201302,0.63,-1.57
201303,1.22,-0.24
201304,0.01,-0.64
201305,0.26,-0.02
201306,0.00,-0.05
201307,0.05,-0.03
201308,0.00,-0.01
201309,0.00,-0.12
201310,0.25,-0.25
201311,1.48,0.69
201312,0.46,-1.21
201401,0.01,-1.97
201402,1.00,-1.20
201403,1.28,-0.18
201404,0.54,-0.11
201405,0.00,-0.28
201406,0.00,-0.05
201407,0.00,-0.08
201408,0.08,0.07
201409,0.00,-0.12
201410,0.00,-0.50
201411,0.37,-0.42
201412,4.50,2.83
201501,0.42,-1.56
201502,0.28,-1.92
201503,0.93,-0.53
201504,0.02,-0.63
201505,2.39,2.11
201506,0.04,-0.01
201507,1.72,1.64
201508,0.01,0.00
201509,1.24,1.12
201510,0.43,-0.07
201511,1.55,0.76
201512,0.89,-0.78
201601,3.21,1.23
201602,0.05,-2.15
201603,0.76,-0.70
201604,0.55,-0.10
201605,0.44,0.16
201606,0.00,-0.05
201607,0.00,-0.08
201608,0.00,-0.01
201609,0.32,0.20
201610,0.07,-0.43
201611,0.61,-0.18
201612,4.22,2.55
201701,3.02,1.04
201702,3.71,1.51
201703,0.08,-1.38
201704,0.01,-0.64
201705,0.92,0.64
201706,0.02,-0.03
201707,0.00,-0.08
201708,0.00,-0.01
201709,0.08,-0.04
201710,0.00,-0.50
201711,0.02,-0.77
201712,0.07,-1.60
201801,1.78,-0.20
201802,0.36,-1.84
201803,0.95,-0.51
201804,0.02,-0.63
201805,0.12,-0.16
201806,0.00,-0.05
201807,0.00,-0.08
201808,0.02,0.01
201809,0.00,-0.12
201810,0.57,0.07
201811,0.81,0.02
201812,3.02,1.35
201901,2.80,0.82
201902,3.43,1.23
201903,1.23,-0.23
201904,0.16,-0.49
201905,0.80,0.52
201906,0.01,-0.04
201907,0.00,-0.08
201908,0.00,-0.01
201909,0.11,-0.01
201910,0.00,-0.50
201911,2.72,1.93
201912,4.03,2.36
202001,0.48,-1.50
202002,0.38,-1.82
202003,2.16,0.70
202004,3.68,3.03
202005,0.02,-0.26
202006,0.14,0.09
202007,0.00,-0.08
202008,0.00,-0.01
202009,0.00,-0.12
202010,0.12,-0.38
202011,0.26,-0.53
202012,0.60,-1.07
202101,1.80,-0.18
202102,0.10,-2.10
202103,1.48,0.02
202104,0.07,-0.58
202105,0.07,-0.21
202106,0.01,-0.04
202107,0.00,-0.08
202108,0.23,0.22
202109,0.50,0.38
202110,1.01,0.51
202111,0.00,-0.79
202112,2.58,0.91
202201,0.16,-1.82
202202,0.70,-1.50
202203,1.61,0.15
202204,0.02,-0.63
202205,0.02,-0.26
202206,0.00,-0.05
202207,0.00,-0.08
202208,0.00,-0.01
202209,0.65,0.53
202210,0.09,-0.41
202211,1.07,0.28
202212,1.58,-0.09
202301,5.15,3.17
