County,1940,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Alameda,513011,708400,717700,725100,743600,760300,781600,794100,823400,824900,846800,853100,870200,887000,912600,933900,956000,978200,1000300,1018000,1037500,1049900,1059600,1070500,1073000,1087700,1098500,1095000,1098900,1107900,1105600,1106800,1109700,1103900,1109500,1126000,1141400,1160500,1177200,1196000,1215200,1228800,1250600,1271000,1276100,1293363,1312023,1324224,1330821,1335230,1345787,1376952,1401090,1423529,1448768,1465564,1468468,1467187,1465540,1459882,1464839,1476401,1491781,1503827,,,,,,,,,,,1676458,1654938,1638979
Alpine,323,200,200,200,200,200,300,300,300,300,300,300,300,400,400,400,400,400,400,400,400,400,400,500,500,600,600,700,700,800,800,900,1000,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1094,1121,1131,1132,1119,1171,1214,1237,1192,1171,1203,1237,1248,1249,1266,1208,1255,1248,1208,1180,1177.0,1181.0,1186.0,1193.0,1199.0,1201.0,1207.0,1211.0,1208.0,1205.0,1201,1181,1175
Amador,8973,9600,10800,9200,9200,9300,9300,9200,9100,9000,9000,9100,9400,9700,10000,10200,10500,10700,11100,10900,11000,11100,11200,11500,11900,12800,12900,13900,15000,15200,15300,16300,17500,18700,19500,20100,20400,20800,21400,22200,22800,24000,26400,28300,30462,31641,32176,32897,33192,33395,33812,34487,34098,34769,35205,35784,36535,36776,37147,37722,37964,38085,37864,37905,37714.0,37122.0,36903.0,36561.0,36930.0,36905.0,37929.0,38549.0,40038.0,40279.0,40446,40222,40052
Butte,42840,56700,59900,63300,64800,65000,65900,66400,68800,71100,74200,77200,79400,80900,83200,87000,90900,93700,95800,97300,99900,101300,100200,100000,102500,106000,110400,113800,118100,120700,125000,130200,134500,138500,144900,148800,152500,154900,157600,161600,164400,168100,173400,176900,183229,187561,190704,192812,195327,197464,197753,199630,200393,201632,203446,205730,208154,210623,212212,213698,215684,217115,218485,219287,220619.0,222149.0,224316.0,225544.0,227830.0,229359.0,230681.0,233080.0,234627.0,226714.0,210426,206694,206932
Calaveras,8221,9100,9400,9800,9900,9800,9800,9800,9800,9900,10000,9900,10100,10100,10400,10600,10900,11400,11600,11800,12200,12700,13100,13300,13700,13800,14300,14800,15400,15500,16000,17000,18600,19900,20900,21700,22800,23500,24200,25000,26100,27600,28800,30600,32466,34507,35932,36735,37607,38352,38608,39925,39677,40288,40658,41428,42119,43186,43924,44773,45316,45638,45702,45562,45565.0,45519.0,45512.0,45429.0,45423.0,45414.0,45365.0,45354.0,45365.0,45285.0,45277,45013,44833
Colusa,9788,10300,10500,11000,11600,11500,11600,11400,11400,11500,11700,12000,12100,12000,12200,12200,12300,12600,12300,12200,12100,12300,12200,12400,12400,12300,12300,12300,12600,12800,13000,12900,12900,13100,12900,13200,13800,14000,14000,14600,14800,14800,15300,15900,16300,16694,16983,17319,17556,17833,18148,18461,18457,18594,18880,19068,19391,19685,20184,20565,20893,21119,21172,21270,21322.0,21356.0,21406.0,21464.0,21414.0,21455.0,21677.0,21792.0,21690.0,21745.0,21777,21867,21923
Contra Costa,100450,278900,283100,293000,302700,315700,340300,351600,335900,337900,348500,365300,380200,395500,413200,425200,439400,457700,473200,491900,510500,529200,538800,549600,557500,567700,572100,576200,579600,586600,602100,618200,632100,644700,658500,667200,678500,689700,698000,710900,725800,740800,760800,785000,806315,823658,840825,856384,865554,872804,883351,901948,919754,937226,953675,970496,978795,989705,998201,1004230,1010104,1021251,1033292,1043501,1053028.0,1068330.0,1082513.0,1098192.0,1112733.0,1128317.0,1141566.0,1149457.0,1158017.0,1162287.0,1165556,1160418,1149586
Del Norte,4745,7100,7400,7900,8400,9700,11000,12200,13300,14400,15300,17600,17900,18600,17800,17400,16900,16600,16600,16100,15700,15200,14700,14500,14600,15100,15300,15500,16000,16200,16300,16800,17600,17700,18300,18900,18700,18900,18800,19100,19500,20000,20900,20400,24426,26567,27264,27591,27824,27862,27783,28648,27963,27513,27447,27418,27615,27871,28187,28315,28276,28480,28571,28559,28421.0,28261.0,28038.0,27589.0,27260.0,27113.0,27070.0,26898.0,27572.0,27604.0,27638,27365,26604
El Dorado,13229,15600,15900,16000,16200,16500,16900,17400,18400,18800,19700,21500,23600,26600,29900,32100,34100,36000,38600,40700,42500,42100,42200,43000,44100,47200,49900,52700,56100,59400,62000,67600,74200,80900,86500,89300,92300,93300,95300,99100,102900,107600,114000,119700,127305,133089,136719,140871,142819,144910,146992,149758,151958,154507,158288,161880,164725,167670,170304,173181,175258,177195,178599,179701,181135.0,180832.0,180978.0,181963.0,181898.0,182205.0,182937.0,184800.0,187122.0,187905.0,191032,191309,189382
Fresno,178565,254600,260800,268300,275900,277000,287100,295500,302800,313000,322600,332800,344100,356900,368500,377500,384600,391600,398000,405000,410900,414500,411500,410200,413800,423000,431000,434600,439900,452400,472200,485400,495500,504600,517400,529000,541600,555900,571300,582800,593300,609100,627500,649000,670250,695373,716140,730722,740909,755971,766333,774838,780261,789748,802224,815003,828637,845917,860226,871910,886376,899826,913239,923895,932842.0,941793.0,949363.0,955481.0,963010.0,970859.0,977361.0,985393.0,993965.0,1001640.0,1007344,1010453,1012350
Glenn,12195,14100,14600,15000,15500,15600,15700,16100,16400,16500,16900,17300,17200,17100,17400,17600,17900,17900,17800,18000,18300,17900,17600,17500,17500,17700,18200,18700,19100,19300,19800,20200,20300,21000,21500,22000,22200,22700,22600,22900,23000,23000,23500,24200,24827,25318,25757,25915,25925,26398,26342,26463,26319,26308,26555,26611,26792,27156,27264,27525,27731,28013,28120,28056,28220.0,28219.0,28009.0,28014.0,28075.0,28001.0,28005.0,28072.0,28134.0,28525.0,28891,28734,28685
Humboldt,45812,54600,59400,65300,70300,74400,77800,82300,85900,90100,94200,96100,97400,101400,104900,103900,103100,100500,100100,100300,101100,99000,97800,98100,100200,101300,102400,104500,105800,106600,105700,106900,107400,108000,108900,110500,109900,109600,110200,110600,111700,112700,114700,117000,119370,121433,123386,124670,124462,124979,125340,126347,125453,126393,126665,127348,128755,130179,131243,131689,132226,132657,133201,133766,135187.0,135810.0,135500.0,135676.0,135710.0,136348.0,137346.0,137492.0,137493.0,136740.0,136204,134639,134417
Imperial,59740,61800,62600,62800,62800,62800,65800,68100,69300,69700,70300,71700,73100,74000,73000,72700,73000,74500,74800,75500,76300,75700,74900,74200,74400,75000,76300,78500,81000,83400,84700,86700,88400,89800,92500,94100,95300,96400,96900,98600,99800,101300,103600,106100,110074,115211,122788,130169,133519,136183,138126,139026,139223,140822,143151,144726,147185,150909,153937,157657,162532,166894,170104,173241,175188.0,176872.0,177385.0,177312.0,178967.0,179952.0,180280.0,180627.0,180627.0,180809.0,180182,179340,179062
Inyo,7625,9000,10000,11300,11700,11800,11600,11300,11400,11700,12000,11700,11300,11400,11700,12100,12200,12900,13500,14000,14500,14900,15200,15500,15600,16200,16700,17000,17000,17600,17800,17900,17900,18100,17900,17900,18400,18400,18100,18000,17800,17700,17900,18000,18198,18298,18284,18337,18483,18371,18401,18466,18404,18162,18116,18207,18415,18507,18559,18463,18421,18447,18383,18448,18560.0,18624.0,18702.0,18761.0,18873.0,18911.0,18956.0,18945.0,18953.0,18947.0,18985,18879,18864
Kern,135124,204400,215200,222700,229600,231600,243400,249100,252800,259400,267000,275600,282800,288600,294900,300800,304500,310700,315600,320700,322800,325300,325300,326100,331100,338600,343400,346400,349800,361800,363900,373600,383600,393400,406100,419000,433600,446900,459200,473800,485900,497900,511200,525100,547992,571684,590452,601624,612169,618968,625818,635822,640659,653400,664373,679674,696504,717797,740022,761972,786220,805798,819891,831134,841932.0,850117.0,858439.0,867036.0,872913.0,878081.0,880702.0,888203.0,895655.0,903150.0,905241,908195,908513
Kings,35168,44300,44800,46000,46600,46500,47900,47200,46900,47000,47000,47600,48600,49300,50500,52700,56800,61000,62400,63100,64500,65500,66200,66500,66700,67400,67700,68900,68100,69400,70700,72100,73100,73300,74200,75800,77800,80300,81900,83900,84500,86200,92800,98300,101866,105828,108709,111462,113789,115865,116194,117923,123424,127440,129764,132441,134664,138772,142617,144601,147496,150378,151834,151794,152355.0,151488.0,149766.0,149667.0,148494.0,148525.0,147615.0,148933.0,151040.0,151691.0,152200,151514,151337
Lake,8069,11900,12100,11400,11500,11500,11800,11900,11800,12200,12300,12600,13200,13600,13900,14200,14900,15700,16400,16700,17500,18000,18100,18700,19800,21100,22500,23700,24900,26100,28100,29900,32400,34700,36800,38600,39900,41700,43800,45600,46300,47300,48200,49200,50962,53052,54459,55481,56072,56630,56644,57026,56947,57601,58479,60046,61005,61981,62633,63107,63792,63986,64370,64396,65981.0,66259.0,67017.0,67300.0,67677.0,66931.0,66945.0,67963.0,68358.0,68114.0,67637,67572,67391
Lassen,14479,18900,18800,18300,18300,18000,17900,17700,17300,16200,14800,14100,13800,13900,13600,14300,14700,15400,15700,16000,16300,16500,16600,16600,16900,16800,17500,17600,18300,18800,18600,19300,19900,21200,21800,22600,23500,23700,24100,24300,24900,26500,27200,26900,27693,28217,28418,28743,28694,28891,32298,34029,33514,33654,33871,33650,33603,34053,34574,34528,35011,35749,35120,34773,34878.0,34813.0,33533.0,33040.0,32725.0,31697.0,32309.0,32655.0,32936.0,32857.0,31719,30851,29387
Los Angeles,2785643,3854100,3954000,4061300,4168400,4300900,4511100,4745300,4984800,5178200,5393500,5613200,5787300,5927800,6071900,6255200,6418700,6582600,6715000,6814600,6865100,6918700,6952800,6994700,7055800,7092000,7072100,7083800,7124500,7191300,7243400,7258200,7338600,7389600,7500300,7607100,7766300,7921900,8044400,8190900,8373100,8527400,8639400,8768700,8860281,8955322,9060246,9083691,9106489,9101122,9108050,9185584,9265811,9394293,9543983,9635795,9722444,9791022,9822508,9809557,9787327,9773894,9796812,9805233,9842625.0,9893861.0,9970512.0,10012612.0,10052498.0,10083826.0,10099858.0,10114636.0,10100671.0,10063851.0,10013543,9905214,9792167
Madera,23314,35200,36000,36500,36800,36800,37400,37800,38000,38100,38200,39000,40300,40800,40700,40800,40800,40700,41000,41300,41000,41500,41100,41200,41700,43200,44400,45300,47400,48700,50000,53300,56300,60300,63900,67100,68900,71000,72800,74800,76000,78600,81300,83000,88506,95256,99797,104833,107697,109941,113395,117320,118947,121669,124265,126456,128484,132814,136488,139868,143528,146806,149114,150151,150123.0,151338.0,150285.0,151234.0,152611.0,152897.0,153136.0,154238.0,155476.0,155291.0,156141,156860,157382
Marin,52907,79700,78100,82600,87700,92500,95200,99700,105400,111100,118500,126900,134300,141700,148800,154300,162100,170900,177400,184000,191600,198500,202900,207600,207000,211000,212400,215200,214200,219500,221300,223900,223900,222900,222700,223400,222600,222600,221200,220200,221400,221800,223000,227000,229887,233078,235668,237006,237695,238409,237880,241350,242589,244931,247424,247731,247382,247280,246684,246686,247247,248802,250288,251230,252750.0,255411.0,257455.0,260645.0,263335.0,263964.0,265181.0,264753.0,264944.0,263917.0,261227,258385,254590
Mariposa,5605,5000,5200,5200,5100,4900,4700,4700,4900,4800,4700,4900,4900,5100,5100,5300,5100,5300,5500,5700,5700,5900,5800,5900,6100,6500,7000,7500,8000,8400,8800,9300,9800,10600,11200,11500,11700,11900,12200,12500,12700,12900,13300,13600,14422,15026,15620,16061,16318,16450,16574,16719,16879,16945,17056,17269,17461,17764,17872,18057,18244,18376,18385,18281,18228.0,18157.0,18072.0,17937.0,17848.0,17732.0,17644.0,17502.0,17345.0,17213.0,17124,17016,16970
Mendocino,27864,34800,37600,39400,41300,43400,44700,46200,47500,49600,50800,50500,49800,50500,51000,50200,49600,49700,49400,47100,49600,49500,49900,50100,51300,52400,53300,55700,57300,58000,59300,61300,63200,65200,67000,68500,69800,70800,71800,73400,74500,75600,76800,78500,80574,81847,82372,83009,83354,83753,84291,85322,85223,85800,86506,87140,87507,88017,88239,88016,87584,87646,87782,87569,87856.0,87826.0,88936.0,89346.0,90108.0,90198.0,91021.0,91609.0,91726.0,91727.0,91074,90445,89530
Merced,46988,60700,62300,65500,70800,72100,74300,75000,76600,78900,81100,83900,87100,89300,90900,93200,95500,97700,100500,102500,103200,103000,102800,102900,105000,108500,110500,113200,117200,118900,122200,125500,128700,131600,135500,139800,143000,148000,152100,157000,159500,162900,167800,172000,179400,186239,190322,194769,198458,199020,198115,202021,204325,207457,211109,217319,222733,229182,235549,240600,245555,249538,251932,254123,256705.0,259700.0,262303.0,263324.0,265556.0,267099.0,268701.0,272610.0,274871.0,278157.0,280909,281750,285593
Modoc,8713,9100,9600,9400,9600,9500,9400,9400,9300,9100,9000,8800,8700,8400,8300,8100,8000,8000,8100,8000,7800,7800,7600,7500,7500,7700,7800,7800,8000,7900,7900,8200,8200,8400,8700,9000,9200,9400,9500,9400,9200,9200,9200,9400,9685,9773,9941,9976,10045,9983,9925,10030,9640,9437,9510,9434,9400,9511,9602,9588,9639,9590,9623,9632,9713.0,9479.0,9341.0,9049.0,8959.0,8952.0,8795.0,8691.0,8755.0,8709.0,8703,8579,8640
Mono,2299,1700,2100,2000,2100,2200,2100,1900,1800,2000,2000,2000,1900,2400,2500,2600,2700,3000,3100,3300,3500,3600,3600,4000,4100,4800,5700,6500,7000,7200,7200,7400,7600,8200,8700,8900,9300,9200,8800,8800,8800,8900,9100,9300,10078,10246,10498,11039,11432,11400,11696,11875,12107,12604,12855,13213,13383,13574,13726,13799,14151,14212,14073,14075,14011.0,14243.0,13982.0,13724.0,13717.0,13548.0,13389.0,13355.0,13222.0,13227.0,13310,13258,13159
Monterey,73032,117200,120600,125500,133500,171600,177400,178800,156900,161400,175900,185400,192000,190500,195300,199300,204300,210300,216900,216500,227200,227600,241000,244800,247800,252900,256300,261200,265500,270900,271400,279600,281100,286500,292100,299900,306600,314400,321700,327400,333700,338400,343000,346600,356797,365677,372322,372720,359936,360350,360749,379344,386441,394653,402854,406264,408599,411941,411121,407974,405877,407896,410877,413590,415956.0,420251.0,424445.0,426355.0,428633.0,433478.0,437116.0,438011.0,439618.0,440874.0,439227,437644,434281
Napa,28503,43400,44400,45200,46600,47500,48700,51000,53600,56400,58900,60800,62700,64300,66400,67300,68600,70500,71300,72400,73100,75100,76100,77900,79400,81200,83900,86100,88900,90600,92900,95200,97400,98400,99300,99900,101300,101700,102000,102900,104100,104800,106100,108100,111017,112467,114447,115713,116365,117269,118209,120051,121037,122788,124601,126188,127942,129422,130204,130740,131920,133155,134786,135664,136568.0,137468.0,138859.0,139378.0,140461.0,140955.0,141089.0,140299.0,139558.0,138965.0,138445,137386,135541
Nevada,19283,20900,21300,20400,19800,19300,19100,19400,19500,19500,19400,19600,20000,20400,21200,21900,22800,23700,24700,25500,25900,24800,25000,25700,26500,27100,28800,30500,32300,34100,36900,40400,44500,48200,52500,56000,58800,60400,62300,64700,67100,69900,72800,75300,79019,82094,83509,84864,85796,87059,88128,89353,90306,90860,91872,93515,94580,95974,97107,97802,98334,98480,98680,98432,98834.0,99222.0,99264.0,99393.0,100370.0,100456.0,100919.0,101384.0,101920.0,102298.0,102184,102221,100788
